symbol,status
ABB,matched
ADANIENSOL,matched
ADANIENT,matched
ADANIGREEN,matched
ADANIPORTS,matched
ADANIPOWER,matched
AMBUJACEM,matched
APOLLOHOSP,matched
ASIANPAINT,matched
DMART,matched
AXISBANK,matched
BAJAJ-AUTO,matched
BAJFINANCE,matched
BAJAJFINSV,matched
BAJAJHLDNG,matched
BANKBARODA,matched
BEL,matched
BPCL,matched
BHARTIARTL,matched
BOSCHLTD,matched
BRITANNIA,matched
CGPOWER,matched
CANBK,matched
CHOLAFIN,matched
CIPLA,matched
COALINDIA,matched
CUMMINSIND,matched
DLF,matched
DIVISLAB,matched
DRREDDY,matched
EICHERMOT,matched
ETERNAL,matched
GAIL,matched
GODREJCP,matched
GRASIM,matched
HCLTECH,matched
HDFCAMC,matched
HDFCBANK,matched
HDFCLIFE,matched
HINDALCO,matched
HAL,matched
HINDUNILVR,matched
HINDZINC,matched
HYUNDAI,matched
ICICIBANK,matched
ITC,matched
INDHOTEL,matched
IOC,matched
IRFC,matched
INFY,matched
INDIGO,matched
JSWSTEEL,matched
JINDALSTEL,matched
JIOFIN,matched
KOTAKBANK,matched
LTM,matched
LT,matched
LODHA,matched
M&M,matched
MARUTI,matched
MAXHEALTH,matched
MAZDOCK,matched
MUTHOOTFIN,matched
NTPC,matched
NESTLEIND,matched
ONGC,matched
PIDILITIND,matched
PFC,matched
POWERGRID,matched
PNB,matched
RECLTD,matched
RELIANCE,matched
SBILIFE,matched
MOTHERSON,matched
SHREECEM,matched
SHRIRAMFIN,matched
ENRIN,matched
SIEMENS,matched
SOLARINDS,matched
SBIN,matched
SUNPHARMA,matched
TVSMOTOR,matched
TATACAP,matched
TCS,matched
TATACONSUM,matched
TMCV,matched
TMPV,matched
TATAPOWER,matched
TATASTEEL,matched
TECHM,matched
TITAN,matched
TORNTPHARM,matched
TRENT,matched
ULTRACEMCO,matched
UNIONBANK,matched
UNITDSPR,matched
VBL,matched
VEDL,matched
WIPRO,matched
ZYDUSLIFE,matched
