month,trades,net_pnl
2024-06,2,-6110.853215907457
2024-07,8,5864.650611293693
2024-08,6,-5326.962577956789
2024-09,2,2173.910146773014
2024-10,3,-6227.534087550619
2024-11,7,8088.845479747478
2024-12,7,-7286.5311303067065
2025-01,4,-4782.773016794383
2025-03,10,-3777.0757363554985
2025-04,5,-15717.523181083157
2025-05,11,-4163.430212989726
2025-06,4,-9483.848528868955
2025-07,3,-6054.930429113213
2025-08,3,-9642.321230431244
2025-10,4,-9169.953802012084
2025-11,1,-3388.164306221485
2025-12,6,-5144.530963139618
2026-01,4,-3477.346060223483
2026-02,3,-1481.829165582194
2026-03,2,1544.885873084413
2026-04,9,-10379.035491753433
2026-05,4,8630.450978075638
2026-06,3,-1133.8925997618603
