symbol,trades,net_pnl,avg_r,win_rate
TCS,8,11084.113266480872,0.555685699036223,0.625
INFY,11,6664.837222235364,0.24701444703385367,0.5454545454545454
AXISBANK,14,1998.5968863268072,0.061166511481793855,0.5
RELIANCE,4,-1828.6571682119707,-0.18074767919918244,0.5
SBIN,10,-3763.779464827666,-0.14634228340429614,0.4
ICICIBANK,15,-12180.495770645002,-0.3247708890293539,0.3333333333333333
ITC,8,-12399.68225546393,-0.6243542586867478,0.25
LT,10,-18708.818662421465,-0.7611528357518982,0.2
BHARTIARTL,21,-28153.965280185443,-0.5477563657371354,0.23809523809523808
HDFCBANK,10,-29157.941420365234,-1.1982779489714153,0.1
