symbol,trades,net_pnl,avg_r,avg_mfe_r,avg_mae_r,win_rate
TCS,5,12716.055026084598,1.0130453092454585,1.902503497531423,-0.7866841725820791,0.8
INFY,5,3278.269331569943,0.26652801373234275,1.0145358157211535,-0.9346118752471776,0.6
AXISBANK,9,3130.098956741545,0.1423619745644954,1.2358413698531512,-0.6797931231060075,0.5555555555555556
ICICIBANK,9,-23.597712187282582,0.003793271322020903,1.0017114903740447,-0.7053292962750333,0.4444444444444444
SBIN,6,-380.10848766907384,-0.0207317717288249,1.010292493306194,-0.7456145761215244,0.5
RELIANCE,4,-1828.6571682119707,-0.18074767919918244,0.8719397288678981,-0.8098917953401277,0.5
ITC,6,-5965.178462091178,-0.3969421536173243,0.7052751991262095,-1.0653694201540471,0.3333333333333333
LT,8,-12657.58982005255,-0.6396633047452183,0.6967295627454461,-1.0281439895984343,0.25
HDFCBANK,6,-15236.710674438396,-1.0288753864650233,0.5856543576749588,-1.0002613621110166,0.16666666666666666
BHARTIARTL,13,-18065.232564873346,-0.5619574450137805,0.9410021493231461,-0.975616867061736,0.23076923076923078
