symbol,session,action,reason,rows_affected,bad_rows,outside_regular_rows,file
AXISBANK,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_AXISBANK_5minute_20230901_20260901.parquet
AXISBANK,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_AXISBANK_5minute_20230901_20260901.parquet
BHARTIARTL,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BHARTIARTL_5minute_20230901_20260901.parquet
BHARTIARTL,2024-06-25,EXCLUDE_SESSION,invalid_ohlcv,75,1,0,NSE_BHARTIARTL_5minute_20230901_20260901.parquet
BHARTIARTL,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_BHARTIARTL_5minute_20230901_20260901.parquet
HDFCBANK,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_HDFCBANK_5minute_20230901_20260901.parquet
HDFCBANK,2024-06-25,EXCLUDE_SESSION,invalid_ohlcv,75,1,0,NSE_HDFCBANK_5minute_20230901_20260901.parquet
HDFCBANK,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_HDFCBANK_5minute_20230901_20260901.parquet
ICICIBANK,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ICICIBANK_5minute_20230901_20260901.parquet
ICICIBANK,2024-06-25,EXCLUDE_SESSION,invalid_ohlcv,75,1,0,NSE_ICICIBANK_5minute_20230901_20260901.parquet
ICICIBANK,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ICICIBANK_5minute_20230901_20260901.parquet
INFY,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_INFY_5minute_20230901_20260901.parquet
INFY,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_INFY_5minute_20230901_20260901.parquet
ITC,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ITC_5minute_20230901_20260901.parquet
ITC,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_ITC_5minute_20230901_20260901.parquet
LT,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_LT_5minute_20230901_20260901.parquet
LT,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_LT_5minute_20230901_20260901.parquet
RELIANCE,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_RELIANCE_5minute_20230901_20260901.parquet
RELIANCE,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_RELIANCE_5minute_20230901_20260901.parquet
SBIN,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_SBIN_5minute_20230901_20260901.parquet
SBIN,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_SBIN_5minute_20230901_20260901.parquet
TCS,2023-11-12,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_TCS_5minute_20230901_20260901.parquet
TCS,2024-11-01,EXCLUDE_SESSION,special_or_nonregular_session,12,0,12,NSE_TCS_5minute_20230901_20260901.parquet
