symbol,raw_rows,clean_rows,rows_removed,raw_sessions,clean_sessions,sessions_removed,invalid_sessions_removed,special_sessions_removed
ABB,55365,55341,24,743,741,2,0,2
ADANIENSOL,55365,55341,24,743,741,2,0,2
ADANIENT,55365,55341,24,743,741,2,0,2
ADANIGREEN,55365,55341,24,743,741,2,0,2
ADANIPORTS,55365,55341,24,743,741,2,0,2
ADANIPOWER,55365,55341,24,743,741,2,0,2
AMBUJACEM,55365,55341,24,743,741,2,0,2
APOLLOHOSP,55365,55341,24,743,741,2,0,2
ASIANPAINT,55365,55341,24,743,741,2,0,2
AXISBANK,55365,55341,24,743,741,2,0,2
BAJAJ-AUTO,55365,55341,24,743,741,2,0,2
BAJAJFINSV,55365,55341,24,743,741,2,0,2
BAJAJHLDNG,55365,55341,24,743,741,2,0,2
BAJFINANCE,55365,55341,24,743,741,2,0,2
BANKBARODA,55365,55266,99,743,740,3,1,2
BEL,55365,55341,24,743,741,2,0,2
BHARTIARTL,55365,55266,99,743,740,3,1,2
BOSCHLTD,55365,55266,99,743,740,3,1,2
BPCL,55365,55341,24,743,741,2,0,2
BRITANNIA,55365,55341,24,743,741,2,0,2
CANBK,55365,55341,24,743,741,2,0,2
CGPOWER,55365,55266,99,743,740,3,1,2
CHOLAFIN,55365,55341,24,743,741,2,0,2
CIPLA,55365,55341,24,743,741,2,0,2
COALINDIA,55365,55341,24,743,741,2,0,2
CUMMINSIND,55365,55341,24,743,741,2,0,2
DIVISLAB,55365,55266,99,743,740,3,1,2
DLF,55365,55341,24,743,741,2,0,2
DMART,55365,55341,24,743,741,2,0,2
DRREDDY,55365,55341,24,743,741,2,0,2
EICHERMOT,55365,55341,24,743,741,2,0,2
ENRIN,22281,22281,0,298,298,0,0,0
ETERNAL,55365,55341,24,743,741,2,0,2
GAIL,55365,55341,24,743,741,2,0,2
GODREJCP,55365,55266,99,743,740,3,1,2
GRASIM,55365,55341,24,743,741,2,0,2
HAL,55365,55266,99,743,740,3,1,2
HCLTECH,55365,55341,24,743,741,2,0,2
HDFCAMC,55365,55341,24,743,741,2,0,2
HDFCBANK,55365,55266,99,743,740,3,1,2
HDFCLIFE,55365,55341,24,743,741,2,0,2
HINDALCO,55365,55341,24,743,741,2,0,2
HINDUNILVR,55361,55337,24,743,741,2,0,2
HINDZINC,55365,55341,24,743,741,2,0,2
HYUNDAI,34382,34370,12,461,460,1,0,1
ICICIBANK,55365,55266,99,743,740,3,1,2
INDHOTEL,55365,55341,24,743,741,2,0,2
INDIGO,55365,55341,24,743,741,2,0,2
INFY,55365,55341,24,743,741,2,0,2
IOC,55365,55266,99,743,740,3,1,2
IRFC,55365,55341,24,743,741,2,0,2
ITC,55362,55338,24,743,741,2,0,2
JINDALSTEL,55365,55341,24,743,741,2,0,2
JIOFIN,55365,55341,24,743,741,2,0,2
JSWSTEEL,55365,55341,24,743,741,2,0,2
KOTAKBANK,55365,55341,24,743,741,2,0,2
LODHA,55365,55341,24,743,741,2,0,2
LTM,55365,55341,24,743,741,2,0,2
LT,55365,55341,24,743,741,2,0,2
M&M,55365,55341,24,743,741,2,0,2
MARUTI,55365,55341,24,743,741,2,0,2
MAXHEALTH,55365,55341,24,743,741,2,0,2
MAZDOCK,55365,55341,24,743,741,2,0,2
MOTHERSON,55365,55341,24,743,741,2,0,2
MUTHOOTFIN,55365,55341,24,743,741,2,0,2
NESTLEIND,55365,55341,24,743,741,2,0,2
NTPC,55365,55341,24,743,741,2,0,2
ONGC,55365,55341,24,743,741,2,0,2
PFC,55365,55341,24,743,741,2,0,2
PIDILITIND,55365,55341,24,743,741,2,0,2
PNB,55365,55341,24,743,741,2,0,2
POWERGRID,55365,55341,24,743,741,2,0,2
RECLTD,55365,55341,24,743,741,2,0,2
RELIANCE,55365,55341,24,743,741,2,0,2
SBILIFE,55365,55266,99,743,740,3,1,2
SBIN,55365,55341,24,743,741,2,0,2
SHREECEM,55365,55341,24,743,741,2,0,2
SHRIRAMFIN,55365,55341,24,743,741,2,0,2
SIEMENS,55362,55338,24,743,741,2,0,2
SOLARINDS,55365,55341,24,743,741,2,0,2
SUNPHARMA,55365,55341,24,743,741,2,0,2
TATACAP,16353,16353,0,219,219,0,0,0
TATACONSUM,55365,55341,24,743,741,2,0,2
TATAPOWER,55365,55341,24,743,741,2,0,2
TATASTEEL,55365,55341,24,743,741,2,0,2
TCS,55365,55341,24,743,741,2,0,2
TECHM,55365,55341,24,743,741,2,0,2
TITAN,55365,55341,24,743,741,2,0,2
TMCV,14919,14919,0,199,199,0,0,0
TMPV,55361,55337,24,743,741,2,0,2
TORNTPHARM,55365,55341,24,743,741,2,0,2
TRENT,55365,55341,24,743,741,2,0,2
TVSMOTOR,55365,55341,24,743,741,2,0,2
ULTRACEMCO,55365,55341,24,743,741,2,0,2
UNIONBANK,55365,55341,24,743,741,2,0,2
UNITDSPR,55365,55266,99,743,740,3,1,2
VBL,55365,55341,24,743,741,2,0,2
VEDL,55362,55338,24,743,741,2,0,2
WIPRO,55365,55341,24,743,741,2,0,2
ZYDUSLIFE,55365,55341,24,743,741,2,0,2
