split,confirmation,exit_mode,horizon_min,starting_capital,risk_pct,risk_budget_per_trade,trades,avg_invested_notional,avg_net_pnl_per_trade,avg_return_on_1l_pct_per_trade,sample_sum_pnl_independent_trades
DEV,ABOVE_OR,STOP1R_TIME,30,100000.0,0.5,500.0,461,77689.51990259218,-70.34343288116455,-0.07034343288116456,-32428.322558216856
DEV,ABOVE_OR,STOP1R_TIME,60,100000.0,0.5,500.0,447,77007.20610583892,-47.29099888974798,-0.047290998889747984,-21139.076503717348
DEV,ABOVE_OR,STOP1R_TIME,120,100000.0,0.5,500.0,415,75515.40186766266,-55.92240022424467,-0.055922400224244655,-23207.796093061537
DEV,ABOVE_OR,TIME,30,100000.0,0.5,500.0,461,77689.51990259218,-53.14837799401586,-0.05314837799401585,-24501.40225524131
DEV,ABOVE_OR,TIME,60,100000.0,0.5,500.0,447,77007.20610583892,-22.67519429459947,-0.022675194294599466,-10135.811849685964
DEV,ABOVE_OR,TIME,120,100000.0,0.5,500.0,415,75515.40186766266,-0.581276236279847,-0.0005812762362798555,-241.22963805613654
DEV,ABOVE_OR_VWAP,STOP1R_TIME,30,100000.0,0.5,500.0,459,77596.63112653594,-68.79978076756639,-0.06879978076756639,-31579.099372312976
DEV,ABOVE_OR_VWAP,STOP1R_TIME,60,100000.0,0.5,500.0,445,76908.3284074045,-45.785116456319194,-0.0457851164563192,-20374.37682306204
DEV,ABOVE_OR_VWAP,STOP1R_TIME,120,100000.0,0.5,500.0,413,75401.63870960048,-53.87372853092795,-0.05387372853092795,-22249.849883273244
DEV,ABOVE_OR_VWAP,TIME,30,100000.0,0.5,500.0,459,77596.63112653594,-51.98089861846538,-0.051980898618465374,-23859.23246587561
DEV,ABOVE_OR_VWAP,TIME,60,100000.0,0.5,500.0,445,76908.3284074045,-21.024809689426142,-0.02102480968942613,-9356.040311794633
DEV,ABOVE_OR_VWAP,TIME,120,100000.0,0.5,500.0,413,75401.63870960048,0.6296150235309954,0.00062961502353098,260.0310047183011
DEV,DELAY_ONLY,STOP1R_TIME,30,100000.0,0.5,500.0,520,76620.08135676922,-95.2163100045477,-0.0952163100045477,-49512.4812023648
DEV,DELAY_ONLY,STOP1R_TIME,60,100000.0,0.5,500.0,506,75987.73667931817,-74.07423086940592,-0.07407423086940591,-37481.560819919396
DEV,DELAY_ONLY,STOP1R_TIME,120,100000.0,0.5,500.0,471,74476.93909528662,-78.59048811294508,-0.07859048811294507,-37016.11990119713
DEV,DELAY_ONLY,TIME,30,100000.0,0.5,500.0,520,76620.08135676922,-84.55446889262527,-0.08455446889262527,-43968.32382416514
DEV,DELAY_ONLY,TIME,60,100000.0,0.5,500.0,506,75987.73667931817,-59.746083917432934,-0.059746083917432934,-30231.518462221065
DEV,DELAY_ONLY,TIME,120,100000.0,0.5,500.0,471,74476.93909528662,-40.21995913287378,-0.04021995913287379,-18943.60075158355
VALIDATION,ABOVE_OR,STOP1R_TIME,30,100000.0,0.5,500.0,111,77823.59559486486,-17.933785670309092,-0.017933785670309083,-1990.6502094043094
VALIDATION,ABOVE_OR,STOP1R_TIME,60,100000.0,0.5,500.0,109,77420.35661270643,5.35323930412811,0.00535323930412812,583.5030841499639
VALIDATION,ABOVE_OR,STOP1R_TIME,120,100000.0,0.5,500.0,108,77248.21193319444,18.896270484913387,0.018896270484913383,2040.7972123706456
VALIDATION,ABOVE_OR,TIME,30,100000.0,0.5,500.0,111,77823.59559486486,-16.45350895599699,-0.016453508955996992,-1826.3394941156662
VALIDATION,ABOVE_OR,TIME,60,100000.0,0.5,500.0,109,77420.35661270643,-12.258863202639285,-0.012258863202639286,-1336.2160890876821
VALIDATION,ABOVE_OR,TIME,120,100000.0,0.5,500.0,108,77248.21193319444,-31.002883084376453,-0.031002883084376428,-3348.311373112657
VALIDATION,ABOVE_OR_VWAP,STOP1R_TIME,30,100000.0,0.5,500.0,110,78362.2893820909,-13.356122107584493,-0.013356122107584486,-1469.1734318342942
VALIDATION,ABOVE_OR_VWAP,STOP1R_TIME,60,100000.0,0.5,500.0,108,77965.29251652778,10.231295015925722,0.01023129501592573,1104.979861719978
VALIDATION,ABOVE_OR_VWAP,STOP1R_TIME,120,100000.0,0.5,500.0,107,77796.63186714952,23.94648588729589,0.023946485887295907,2562.27398994066
VALIDATION,ABOVE_OR_VWAP,TIME,30,100000.0,0.5,500.0,110,78362.2893820909,-9.853702735727285,-0.009853702735727287,-1083.9073009300014
VALIDATION,ABOVE_OR_VWAP,TIME,60,100000.0,0.5,500.0,108,77965.29251652778,-4.388154487115366,-0.004388154487115357,-473.9206846084595
VALIDATION,ABOVE_OR_VWAP,TIME,120,100000.0,0.5,500.0,107,77796.63186714952,-23.45783748497332,-0.023457837484973307,-2509.9886108921455
VALIDATION,DELAY_ONLY,STOP1R_TIME,30,100000.0,0.5,500.0,139,76189.47022964028,-75.39278198736089,-0.07539278198736088,-10479.596696243163
VALIDATION,DELAY_ONLY,STOP1R_TIME,60,100000.0,0.5,500.0,136,75674.90788290442,-53.7830920697321,-0.05378309206973211,-7314.5005214835655
VALIDATION,DELAY_ONLY,STOP1R_TIME,120,100000.0,0.5,500.0,135,75524.26288944444,-33.12366446192066,-0.03312366446192065,-4471.694702359289
VALIDATION,DELAY_ONLY,TIME,30,100000.0,0.5,500.0,139,76189.47022964028,-67.41842882519613,-0.06741842882519615,-9371.161606702262
VALIDATION,DELAY_ONLY,TIME,60,100000.0,0.5,500.0,136,75674.90788290442,-61.74222965109806,-0.061742229651098046,-8396.943232549336
VALIDATION,DELAY_ONLY,TIME,120,100000.0,0.5,500.0,135,75524.26288944444,-79.98523912842833,-0.07998523912842832,-10798.007282337825
