split,confirmation,exit_mode,horizon_min,trades,win_rate,gross_expectancy_r,net_expectancy_r,net_ci_low,net_ci_high,avg_net_pct_1l,avg_net_pnl_1l,median_net_pnl_1l,avg_charges_1l,stop_rate
DEV,ABOVE_OR,STOP1R_TIME,30,461,0.37093275488069416,-0.01892295008308855,-0.19090188734892566,-0.29038819403689176,-0.09637735850575399,-0.07034343288116456,-70.34343288116455,-139.00381942473658,70.32953221282587,0.2754880694143167
DEV,ABOVE_OR,STOP1R_TIME,60,447,0.37360178970917224,0.03922010337470703,-0.13059934905071824,-0.2587297898443356,-0.00020948116555742223,-0.047290998889747984,-47.29099888974798,-186.53042668283146,69.96468525065352,0.37583892617449666
DEV,ABOVE_OR,STOP1R_TIME,120,415,0.3686746987951807,0.019058380687270046,-0.14484851526135023,-0.29009370666210854,0.005832383950407407,-0.055922400224244655,-55.92240022424467,-384.39570719968714,69.11981391222558,0.4939759036144578
DEV,ABOVE_OR,TIME,30,461,0.3926247288503254,0.015171337528513032,-0.1568184447875065,-0.2608798263324962,-0.05292132005756099,-0.05314837799401585,-53.14837799401586,-115.55598911577583,70.33503496799399,0.0
DEV,ABOVE_OR,TIME,60,447,0.4250559284116331,0.09952721009806448,-0.07030996922981654,-0.20547104009817474,0.07574842395135262,-0.022675194294599466,-22.67519429459947,-82.31057921610739,69.97207153174439,0.0
DEV,ABOVE_OR,TIME,120,415,0.4650602409638554,0.1601473390595658,-0.0037965814968510024,-0.20778894675172285,0.22135349515668287,-0.0005812762362798555,-0.581276236279847,-91.39602701982673,69.13418839291447,0.0
DEV,ABOVE_OR_VWAP,STOP1R_TIME,30,459,0.37254901960784315,-0.01484646154390601,-0.18650792534346197,-0.2788236001746379,-0.07794078804211196,-0.06879978076756639,-68.79978076756639,-136.69117456216557,70.2786921607413,0.27450980392156865
DEV,ABOVE_OR_VWAP,STOP1R_TIME,60,445,0.3752808988764045,0.043011900031094515,-0.12647019245874289,-0.24891888209743862,-0.0037206551786591437,-0.0457851164563192,-45.785116456319194,-172.38556055657293,69.9105515931646,0.3752808988764045
DEV,ABOVE_OR_VWAP,STOP1R_TIME,120,413,0.3704600484261501,0.02470733983998278,-0.13880790009180113,-0.2829244629300412,0.025856674963760044,-0.05387372853092795,-53.87372853092795,-381.6321327701003,69.05752845885496,0.4915254237288136
DEV,ABOVE_OR_VWAP,TIME,30,459,0.39433551198257083,0.018305253226406994,-0.15336679056815328,-0.2508869447605779,-0.04258487308214574,-0.051980898618465374,-51.98089861846538,-114.34435898553741,70.28408974047822,0.0
