variant,split,snapshot_time,horizon_min,events,avg_fwd_atr,median_fwd_atr,positive_rate,ci_low,ci_high
TOP10_ALL,DEV,09:45,60,4498,-0.05100983699171769,-0.12832004736542776,0.456425077812361,-0.10012059281581971,0.001435507423838989
TOP10_ALL,DEV,09:45,120,4498,-0.03877620587134995,-0.17222835095264233,0.4573143619386394,-0.10450626652726556,0.025705593754015214
TOP10_ALL,DEV,10:00,60,4477,0.011009309978772064,-0.06760505496764671,0.4690641054277418,-0.030049467739467317,0.054614362702472115
TOP10_ALL,DEV,10:00,120,4477,-0.0012063972510897873,-0.1153450051493347,0.4668304668304668,-0.060351061371253824,0.05607570979757091
TOP10_ALL,DEV,10:30,60,4486,0.0861754300164551,0.0,0.49264378065091396,0.03790591289339293,0.13876066475948756
TOP10_ALL,DEV,10:30,120,4486,0.06690276694891319,-0.059502022731641804,0.48172090949621044,-0.004035077941354885,0.13348967200571868
TOP10_ALL,DEV,11:00,60,4487,0.025965177570656035,-0.06635071090048823,0.4731446400713171,-0.027719230696448372,0.08550506037166276
TOP10_ALL,DEV,11:00,120,4487,0.020174382875063478,-0.11986301369862995,0.4682415868063294,-0.055633029758664757,0.09572484529712083
TOP10_ALL,DEV,12:00,60,4486,0.004332774502608458,-0.10145164301720141,0.46633972358448506,-0.05776585977859129,0.06747447439171589
TOP10_ALL,DEV,12:00,120,4486,0.0816256857742451,-0.039405439595201916,0.48662505572893444,-0.005284598104461979,0.17622521689186807
TOP10_ALL,VALIDATION,09:45,60,1284,-0.027747076807525667,-0.16410718827309634,0.45716510903426794,-0.12671516023494783,0.07351411724364432
TOP10_ALL,VALIDATION,09:45,120,1284,-0.04048230558614193,-0.1536682858908463,0.45404984423676015,-0.15632441767076577,0.07589462145227116
TOP10_ALL,VALIDATION,10:00,60,1283,0.056083595540435835,-0.10389610389612691,0.47388932190179267,-0.03687968527903343,0.14051958290740008
TOP10_ALL,VALIDATION,10:00,120,1283,0.07761977767308947,-0.0797720797720976,0.4715510522213562,-0.029474145248719635,0.19188696763921131
TOP10_ALL,VALIDATION,10:30,60,1284,0.01188555151558494,-0.04765524440796885,0.47741433021806856,-0.09182637203408663,0.11088122497891924
TOP10_ALL,VALIDATION,10:30,120,1284,0.10615131315940858,-0.09195427092322792,0.48442367601246106,-0.01245213806262193,0.23064665836503684
TOP10_ALL,VALIDATION,11:00,60,1285,0.034936733705739485,-0.03733333333338381,0.4848249027237354,-0.07824013495953921,0.14792959815649812
TOP10_ALL,VALIDATION,11:00,120,1285,0.19779735655928535,0.072538860103562,0.5105058365758754,0.05326325007604159,0.34526864620994346
TOP10_ALL,VALIDATION,12:00,60,1285,0.1713143790835755,0.08235294117648986,0.5159533073929962,0.04060082387441343,0.28623020225769547
TOP10_ALL,VALIDATION,12:00,120,1285,-0.06657739476057357,-0.1814814814814815,0.4536964980544747,-0.23110788246423744,0.10695981403579859
TOP10_ABOVE_VWAP,DEV,09:45,60,3826,-0.038469307368033105,-0.13333543297168782,0.4555671719811814,-0.09048451123348113,0.014431452545153428
TOP10_ABOVE_VWAP,DEV,09:45,120,3826,-0.019587259837952505,-0.17250360355884242,0.45974908520648194,-0.08660694221567727,0.050741993098273416
TOP10_ABOVE_VWAP,DEV,10:00,60,3798,0.011202968532829535,-0.07503231180168964,0.4657714586624539,-0.03767195120647513,0.0628731731319388
TOP10_ABOVE_VWAP,DEV,10:00,120,3798,-0.00798364676057069,-0.14177578659282475,0.46050552922590837,-0.06900138058747178,0.05404581450104001
TOP10_ABOVE_VWAP,DEV,10:30,60,3773,0.09934421186066095,0.0,0.4935064935064935,0.04480833997818483,0.1557470650686686
TOP10_ABOVE_VWAP,DEV,10:30,120,3773,0.09829582480651515,-0.05483028720625807,0.48316989133315663,0.022478222408537866,0.17330601866080128
TOP10_ABOVE_VWAP,DEV,11:00,60,3843,0.04756497617609317,-0.06113537117905326,0.4759302628155087,-0.01618585979591469,0.1070360543956471
TOP10_ABOVE_VWAP,DEV,11:00,120,3843,0.04524622958183152,-0.11135414595346954,0.4694249284413219,-0.040800377764021296,0.13133485041852838
TOP10_ABOVE_VWAP,DEV,12:00,60,3820,0.04361926289671259,-0.08494822259056178,0.47041884816753926,-0.02690538734237967,0.11579952969419702
TOP10_ABOVE_VWAP,DEV,12:00,120,3820,0.11148787809459976,0.0,0.49240837696335077,0.012700537892177928,0.216554026663995
TOP10_ABOVE_VWAP,VALIDATION,09:45,60,1108,-0.005220599793903927,-0.13610216798240987,0.4648014440433213,-0.1139647614058619,0.10583266728478183
TOP10_ABOVE_VWAP,VALIDATION,09:45,120,1108,-0.017609761691392545,-0.14920494699646913,0.4566787003610108,-0.14581048445509823,0.1170905972337936
TOP10_ABOVE_VWAP,VALIDATION,10:00,60,1083,0.08672601125040581,-0.05702647657841141,0.48107109879963067,-0.005401022215460349,0.19063069776341546
TOP10_ABOVE_VWAP,VALIDATION,10:00,120,1083,0.1394217169945311,-0.05882352941177805,0.481994459833795,0.005648378431827269,0.27223663478257176
TOP10_ABOVE_VWAP,VALIDATION,10:30,60,1110,-0.005314919471791512,-0.0998846245206704,0.46216216216216216,-0.11302962447619574,0.10188610968782988
TOP10_ABOVE_VWAP,VALIDATION,10:30,120,1110,0.1373579758380914,-0.12208174317206683,0.48018018018018016,0.002525634655442198,0.2707183287279092
TOP10_ABOVE_VWAP,VALIDATION,11:00,60,1125,0.028889431375172938,-0.06194690265481116,0.4782222222222222,-0.09368029853790384,0.14716536379115075
TOP10_ABOVE_VWAP,VALIDATION,11:00,120,1125,0.1999735590721808,0.08793969849246291,0.5128888888888888,0.05386159500617271,0.3519125773858064
TOP10_ABOVE_VWAP,VALIDATION,12:00,60,1098,0.21609265883760223,0.09331951205968217,0.5209471766848816,0.08475741612440663,0.3493130431802182
TOP10_ABOVE_VWAP,VALIDATION,12:00,120,1098,-0.018647896107300655,-0.12830661911665728,0.4644808743169399,-0.20375554697790607,0.15972946954238373
TOP10_RVOL_GE_1_5,DEV,09:45,60,2094,-0.057953671880627194,-0.15897834352788404,0.45081184336198665,-0.13951818088358287,0.020960399442309395
TOP10_RVOL_GE_1_5,DEV,09:45,120,2094,-0.02615159361111586,-0.18785815185024024,0.4565425023877746,-0.122973257004531,0.07049720902585235
TOP10_RVOL_GE_1_5,DEV,10:00,60,2044,0.03868875783925516,-0.06372035027207587,0.474559686888454,-0.02992637498714651,0.10441468094919996
TOP10_RVOL_GE_1_5,DEV,10:00,120,2044,0.05766089588824309,-0.11372216330858416,0.47162426614481406,-0.02746440962712417,0.14583048346824698
TOP10_RVOL_GE_1_5,DEV,10:30,60,1881,0.12345215314919618,0.013333333333351495,0.5007974481658692,0.04896785864321882,0.20128198971492917
TOP10_RVOL_GE_1_5,DEV,10:30,120,1881,0.1567468304925946,-0.011093502377169013,0.49069643806485913,0.054350926786711155,0.2691074110225709
TOP10_RVOL_GE_1_5,DEV,11:00,60,1857,0.07806805889509358,-0.03263403263404007,0.48357565966612814,-0.020416151253007317,0.1807740957704669
TOP10_RVOL_GE_1_5,DEV,11:00,120,1857,0.06917823037753747,-0.11843399567185271,0.4728056004308024,-0.05913853923996181,0.18676171955165977
TOP10_RVOL_GE_1_5,DEV,12:00,60,1766,0.08619888779330172,-0.08813981712596265,0.47565118912797283,-0.03524416982361023,0.1999192171302201
TOP10_RVOL_GE_1_5,DEV,12:00,120,1766,0.11759084374875996,-0.04808690724070282,0.48640996602491504,-0.02986558341965879,0.26341639471186146
TOP10_RVOL_GE_1_5,VALIDATION,09:45,60,573,-0.04138387047038976,-0.18283582089553457,0.45549738219895286,-0.1894941047369597,0.11805712940674629
TOP10_RVOL_GE_1_5,VALIDATION,09:45,120,573,-0.060747026732120686,-0.2611940298507672,0.42757417102966844,-0.23677848906169094,0.1132981262499653
TOP10_RVOL_GE_1_5,VALIDATION,10:00,60,560,0.07282770048858637,-0.1145319554195656,0.4767857142857143,-0.0629822562749759,0.2051717223304843
TOP10_RVOL_GE_1_5,VALIDATION,10:00,120,560,0.10869531367740497,-0.11306510829655464,0.46785714285714286,-0.06341653370977071,0.27394092764903927
TOP10_RVOL_GE_1_5,VALIDATION,10:30,60,519,-0.028357439983077437,-0.10047846889952551,0.4624277456647399,-0.1856579810123568,0.12485166193584134
TOP10_RVOL_GE_1_5,VALIDATION,10:30,120,519,0.09563685002830198,-0.17463617463617465,0.464354527938343,-0.11526434503449723,0.3120136365267894
TOP10_RVOL_GE_1_5,VALIDATION,11:00,60,507,0.06795202018549582,-0.05797101449273391,0.4832347140039448,-0.11069951750332271,0.25019443375529626
TOP10_RVOL_GE_1_5,VALIDATION,11:00,120,507,0.345346822212122,0.12227074235810592,0.5088757396449705,0.08042175906161662,0.5950791385022578
TOP10_RVOL_GE_1_5,VALIDATION,12:00,60,434,0.1555157597485742,0.11359746192345083,0.5230414746543779,-0.05960106043091482,0.3788777860258624
TOP10_RVOL_GE_1_5,VALIDATION,12:00,120,434,-0.06283032354060454,-0.14679181412525105,0.45622119815668205,-0.36755226845126304,0.20790972471091812
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,09:45,60,1845,-0.047077340998553596,-0.17919999999998854,0.44769647696476966,-0.13244560625819712,0.040063833017146964
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,09:45,120,1845,-0.0075030428607365095,-0.19817997977756488,0.45691056910569106,-0.11671234398965474,0.10071737205917412
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,10:00,60,1792,0.04179815576002888,-0.07423151100089626,0.47377232142857145,-0.03866897252359016,0.11160782587945026
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,10:00,120,1792,0.04845783613199154,-0.14666734956497046,0.46261160714285715,-0.04239781681474297,0.13905592436215874
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,10:30,60,1690,0.12042653534774003,0.0,0.4976331360946746,0.033619163453818164,0.20837388295914092
TOP10_ABOVE_VWAP_RVOL_GE_1_5,DEV,10:30,120,1690,0.14538250781839282,-0.010168019614391064,0.4911242603550296,0.03721528829640706,0.2559641025347012
