symbol,rows,sessions,first_date,last_date,sma_ready_sessions,rvol_ready_sessions,complete_feature_sessions,sma_ready_pct,rvol_ready_pct,complete_ready_pct
AXISBANK,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
BHARTIARTL,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
HDFCBANK,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
ICICIBANK,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
INFY,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
ITC,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
LT,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
RELIANCE,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
SBIN,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
TCS,18474,248,2025-09-01 09:15:00+05:30,2026-08-31 15:10:00+05:30,48,238,48,19.35483870967742,95.96774193548387,19.35483870967742
