symbol,step,independent_bars,independent_sessions,cumulative_bars,cumulative_sessions
AXISBANK,complete_features,3537,48,3537,48
AXISBANK,time_window,15820,248,3072,48
AXISBANK,trend_prev_close_gt_sma,1350,18,1152,18
AXISBANK,gap,1275,17,192,3
AXISBANK,prev_day_high_break,4499,114,0,0
AXISBANK,opening_range_break,4746,137,0,0
AXISBANK,rvol,3123,230,0,0
BHARTIARTL,complete_features,3537,48,3537,48
BHARTIARTL,time_window,15820,248,3072,48
BHARTIARTL,trend_prev_close_gt_sma,504,7,448,7
BHARTIARTL,gap,1191,16,128,2
BHARTIARTL,prev_day_high_break,3867,99,0,0
BHARTIARTL,opening_range_break,4833,142,0,0
BHARTIARTL,rvol,3289,224,0,0
HDFCBANK,complete_features,3537,48,3537,48
HDFCBANK,time_window,15820,248,3072,48
HDFCBANK,trend_prev_close_gt_sma,0,0,0,0
HDFCBANK,gap,1275,17,0,0
HDFCBANK,prev_day_high_break,3410,105,0,0
HDFCBANK,opening_range_break,4566,149,0,0
HDFCBANK,rvol,3394,233,0,0
ICICIBANK,complete_features,3537,48,3537,48
ICICIBANK,time_window,15820,248,3072,48
ICICIBANK,trend_prev_close_gt_sma,3462,47,3008,47
ICICIBANK,gap,744,10,256,4
ICICIBANK,prev_day_high_break,4439,101,38,1
ICICIBANK,opening_range_break,4316,140,0,0
ICICIBANK,rvol,3284,233,0,0
INFY,complete_features,3537,48,3537,48
INFY,time_window,15820,248,3072,48
INFY,trend_prev_close_gt_sma,0,0,0,0
INFY,gap,3072,42,0,0
INFY,prev_day_high_break,4533,93,0,0
INFY,opening_range_break,3373,99,0,0
INFY,rvol,3309,224,0,0
ITC,complete_features,3537,48,3537,48
ITC,time_window,15820,248,3072,48
ITC,trend_prev_close_gt_sma,0,0,0,0
ITC,gap,597,8,0,0
ITC,prev_day_high_break,2852,73,0,0
ITC,opening_range_break,3637,113,0,0
ITC,rvol,3027,227,0,0
LT,complete_features,3537,48,3537,48
LT,time_window,15820,248,3072,48
LT,trend_prev_close_gt_sma,2190,30,1920,30
LT,gap,1350,18,0,0
LT,prev_day_high_break,4246,106,0,0
LT,opening_range_break,4547,145,0,0
LT,rvol,3310,237,0,0
RELIANCE,complete_features,3537,48,3537,48
RELIANCE,time_window,15820,248,3072,48
RELIANCE,trend_prev_close_gt_sma,0,0,0,0
RELIANCE,gap,525,7,0,0
RELIANCE,prev_day_high_break,4000,103,0,0
RELIANCE,opening_range_break,4397,140,0,0
RELIANCE,rvol,3272,230,0,0
SBIN,complete_features,3537,48,3537,48
SBIN,time_window,15820,248,3072,48
SBIN,trend_prev_close_gt_sma,3162,43,2752,43
SBIN,gap,1044,14,128,2
SBIN,prev_day_high_break,4715,119,0,0
SBIN,opening_range_break,4579,150,0,0
SBIN,rvol,3273,231,0,0
TCS,complete_features,3537,48,3537,48
TCS,time_window,15820,248,3072,48
TCS,trend_prev_close_gt_sma,0,0,0,0
TCS,gap,1719,23,0,0
TCS,prev_day_high_break,4189,102,0,0
TCS,opening_range_break,3872,112,0,0
TCS,rvol,3283,223,0,0
