gap_min_pct,rvol_min,candidate_bars,candidate_sessions
0.0,0.0,19716,727
0.0,0.5,16491,721
0.0,1.0,9826,686
0.0,1.5,5786,631
0.0,2.0,3587,555
0.0,3.0,1651,398
0.5,0.0,6542,245
0.5,0.5,5740,244
0.5,1.0,3561,232
0.5,1.5,2150,222
0.5,2.0,1354,192
0.5,3.0,612,145
1.0,0.0,2293,75
1.0,0.5,2037,75
1.0,1.0,1421,74
1.0,1.5,938,71
1.0,2.0,633,61
1.0,3.0,318,44
2.0,0.0,489,14
2.0,0.5,469,14
2.0,1.0,349,14
2.0,1.5,258,14
2.0,2.0,180,12
2.0,3.0,96,9
3.0,0.0,150,5
3.0,0.5,149,5
3.0,1.0,132,5
3.0,1.5,106,5
3.0,2.0,69,4
3.0,3.0,37,4
5.0,0.0,42,2
5.0,0.5,42,2
5.0,1.0,42,2
5.0,1.5,38,2
5.0,2.0,28,2
5.0,3.0,15,2
