trend,max_vwap_extension_pct,max_or_extension_atr,rvol_min,max_vwap_extension_pct_dev,max_vwap_extension_pct_validation,max_or_extension_atr_dev,max_or_extension_atr_validation,trades_dev,trades_validation,wins_dev,wins_validation,win_rate_dev,win_rate_validation,profit_factor_dev,profit_factor_validation,expectancy_r_dev,expectancy_r_validation,expectancy_ci_low_dev,expectancy_ci_low_validation,expectancy_ci_high_dev,expectancy_ci_high_validation,gross_pnl_dev,gross_pnl_validation,charges_dev,charges_validation,net_pnl_dev,net_pnl_validation,return_pct_dev,return_pct_validation,max_drawdown_pct_dev,max_drawdown_pct_validation,avg_mfe_r_dev,avg_mfe_r_validation,avg_mae_r_dev,avg_mae_r_validation,passes_min_trades,positive_both,ci_positive_both,robust_gate,worst_split_expectancy_r,total_trades_dev_validation
OFF,,0.5,3.0,,,0.5,0.5,202,85,78,31,0.38613861386138615,0.36470588235294116,0.8222270471565735,0.7805094435389823,-0.11650105651041313,-0.1477677300429526,-0.2798661126222173,-0.4234978947431125,0.05639796716615999,0.13530905374066715,-22152.16320674584,-14209.989409649646,36064.65475118655,16956.717439243483,-58216.81795793239,-31166.70684889312,-11.643363591586478,-6.233341369778624,-14.623556781856617,-7.613899467069943,1.0837382846677974,1.0223197519347267,-0.875429761523659,-0.8473237823928508,True,False,False,False,-0.1477677300429526,287
OFF,,,1.5,,,,,686,151,259,53,0.37755102040816324,0.3509933774834437,0.8165212813942422,0.781459622273169,-0.12952240331934287,-0.15668548296180307,-0.23209512136945676,-0.3633029067589641,-0.030811185628550623,0.06071500388618151,-74529.50691007919,-25674.7061756954,145658.51964829623,32215.447426731596,-220188.02655837534,-57890.15360242699,-44.037605311675065,-11.578030720485398,-46.56842881248431,-11.50914266756351,1.1160338618470456,1.154049332089267,-0.9237207089154327,-0.88478600819577,True,False,False,False,-0.15668548296180307,837
OFF,1.0,0.25,1.5,1.0,1.0,0.25,0.25,248,80,89,29,0.3588709677419355,0.3625,0.7641312143455433,0.7786892593508369,-0.16263054034758667,-0.15018643631773795,-0.32455299276903676,-0.41842110695336465,0.004303106502210985,0.1692991047122507,-50735.00056800577,-13257.632306181784,49562.53006597441,16413.41565821551,-100297.53063398018,-29671.0479643973,-20.059506126796034,-5.93420959287946,-21.726609107388644,-6.432126053127332,1.047670149091639,1.07616818325018,-0.885778059214275,-0.8173285380338381,True,False,False,False,-0.16263054034758667,328
OFF,1.0,0.25,3.0,1.0,1.0,0.25,0.25,116,60,40,24,0.3448275862068966,0.4,0.7396486179193674,0.9104314126665723,-0.1776827658090883,-0.05736149650745026,-0.4004052921922347,-0.35767316118872755,0.04456130079204394,0.2630829814996919,-30215.840521851984,3591.7002373258247,20998.67005505796,11820.545676537191,-51214.510576909925,-8228.84543921136,-10.242902115381986,-1.6457690878422722,-13.857480323551005,-3.558296504875179,1.0258748606570864,1.0954949895080923,-0.8557640785396301,-0.7921357255038459,True,False,False,False,-0.1776827658090883,176
OFF,,0.25,1.5,,,0.25,0.25,274,83,98,29,0.35766423357664234,0.3493975903614458,0.7519250243707257,0.7393950411979519,-0.17190705118622635,-0.17888366065524933,-0.3255144174438255,-0.45141254059533065,-0.024127109208908336,0.08613631518614487,-62420.109923187185,-20144.084052303202,54171.93565253429,16589.84672727298,-116592.0455757215,-36733.93077957619,-23.3184091151443,-7.346786155915239,-24.054008293342658,-8.079384290518965,1.0458909472162357,1.0386962406752662,-0.8915271178739652,-0.8355139952101871,True,False,False,False,-0.17888366065524933,357
OFF,,0.25,3.0,,,0.25,0.25,134,63,46,24,0.34328358208955223,0.38095238095238093,0.7194787866519382,0.8449191164468225,-0.19337923702418805,-0.09958627688153313,-0.4074402849111381,-0.4038022683917236,0.031358841362061865,0.2316248569455453,-40161.16488132666,-3321.277580811663,23876.257866931504,11998.697860126902,-64037.42274825815,-15319.975440938562,-12.80748454965163,-3.0639950881877125,-14.331740841049442,-4.69663343609059,1.0160218262976526,1.0452068680399724,-0.8714855591648281,-0.8172940014280831,True,False,False,False,-0.19337923702418805,197
ON,0.75,0.25,3.0,0.75,0.75,0.25,0.25,60,36,21,12,0.35,0.3333333333333333,0.8533375348221206,0.7159146543716013,-0.09759485052673748,-0.19357116938210878,-0.4204832924779865,-0.6162028303346363,0.24013147443120614,0.18590881300542436,-3319.356849710693,-9876.651222493752,11174.798975762355,7224.1688672330665,-14494.155825473059,-17100.820089726818,-2.898831165094612,-3.4201640179453636,-7.415556439647175,-5.710537610723301,1.074445081419927,1.0280737118092411,-0.8725945928223713,-0.8127393903037663,True,False,False,False,-0.19357116938210878,96
OFF,1.0,,1.5,1.0,1.0,,,608,145,237,49,0.38980263157894735,0.33793103448275863,0.8350574948498122,0.724480075933529,-0.11369519142694645,-0.2011995832585708,-0.21081120079894322,-0.422976373601998,-0.008814848839009775,0.006007767843178486,-41559.941178060784,-40189.96727313815,130144.75814297228,31342.080589780802,-171704.69932103308,-71532.04786291896,-34.34093986420662,-14.306409572583792,-41.18484751156809,-14.047180145638166,1.0912631296183164,1.1052212879943317,-0.9125945059869219,-0.877471356547,True,False,False,False,-0.2011995832585708,753
OFF,,0.5,1.5,,,0.5,0.5,402,112,153,38,0.3805970149253731,0.3392857142857143,0.7977728184388166,0.713539435049086,-0.13728847039855657,-0.2065386373258995,-0.26335786251521454,-0.42874556042683576,-0.006503308815542861,0.04261692795429094,-57538.26785959696,-33957.842930732026,79267.40231628751,23410.112362116735,-136805.67017588444,-57367.955292848754,-27.36113403517689,-11.47359105856975,-35.07116836200845,-12.454681731314553,1.074175163678303,1.0287256339172195,-0.8985799151954739,-0.8790915142108872,True,False,False,False,-0.2065386373258995,514
OFF,1.0,0.5,3.0,1.0,1.0,0.5,0.5,173,80,66,27,0.3815028901734104,0.3375,0.7883357823967637,0.6982361038911354,-0.1397570643667635,-0.21060367720679238,-0.3311248541907327,-0.4848146663765032,0.042571440057661156,0.07799204990212756,-28120.639590579216,-25270.60478041586,31915.333396476475,16419.028854141856,-60035.97298705569,-41689.633634557715,-12.00719459741114,-8.337926726911544,-16.487046626721423,-9.477141023298802,1.0302790974094842,1.032789070875317,-0.8925268994731056,-0.8416286415475156,True,False,False,False,-0.21060367720679238,253
