split,score_family,top_k,snapshot_time,entry_variant,horizon_min,candidates,triggered,trigger_rate,events,sessions,avg_fwd_atr,median_fwd_atr,positive_rate,avg_mfe_atr,avg_mae_atr,avg_entry_delay_min,session_avg_fwd_atr,session_ci_low,session_ci_high
DEV,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,30,439,51,0.11617312072892938,51,51,0.3953068957164264,0.06256983240221346,0.5490196078431373,1.632304274084901,-0.8629986769444166,29.215686274509803,0.3953068957164264,-0.11768007360880423,0.9696000296339634
DEV,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,60,439,51,0.11617312072892938,51,51,0.47678676996465486,0.23119266055045382,0.5882352941176471,2.117044153032726,-1.2787670234222723,29.215686274509803,0.47678676996465497,-0.24538357959754956,1.2899389625708044
DEV,FULL_4,1,10:30,CONSOLIDATION_BREAKOUT,120,439,51,0.11617312072892938,51,51,0.7746160634881883,0.18096357226791965,0.5490196078431373,2.8650700349821574,-1.8685744015863164,29.215686274509803,0.7746160634881883,-0.1418119532324889,1.7328459997768806
DEV,FULL_4,1,10:30,IMMEDIATE,30,439,439,1.0,439,439,0.1074859426892552,0.07567567567569311,0.5216400911161732,1.1178419426453325,-1.045554831526109,5.0,0.10748594268925522,-0.031543330791615753,0.2557898080800149
DEV,FULL_4,1,10:30,IMMEDIATE,60,439,439,1.0,439,439,0.12547364680194076,-0.026266416510325054,0.48519362186788156,1.4389663723275963,-1.2776404898587883,5.0,0.1254736468019407,-0.03599130850017751,0.307460064737265
DEV,FULL_4,1,10:30,IMMEDIATE,120,439,439,1.0,439,439,0.19816061285677192,0.0799021606196286,0.5216400911161732,1.9007942768623955,-1.6434311467574467,5.0,0.19816061285677192,-0.040739525930750524,0.41807352468537845
DEV,FULL_4,1,10:30,PULLBACK_NEW_HIGH,30,439,121,0.275626423690205,121,121,0.10276782422615914,0.03528670447385819,0.5041322314049587,1.2300605460307803,-1.0124219591151915,23.71900826446281,0.10276782422615918,-0.11857257005898246,0.33470423807705124
DEV,FULL_4,1,10:30,PULLBACK_NEW_HIGH,60,439,121,0.275626423690205,121,121,0.2010817739455647,0.12962962962962962,0.5289256198347108,1.5624493451253934,-1.3085308487095217,23.71900826446281,0.20108177394556473,-0.11648201630364081,0.5176225555040783
DEV,FULL_4,1,10:30,PULLBACK_NEW_HIGH,120,439,121,0.275626423690205,121,121,0.4847159620380598,0.07171000788023063,0.5206611570247934,2.2324676658873055,-1.6950290652990367,23.71900826446281,0.4847159620380597,0.010693617568090156,0.9997591236977621
DEV,FULL_4,1,10:30,VWAP_RECLAIM,30,439,75,0.17084282460136674,75,75,0.3299169658567879,0.16247582205029013,0.6,1.2161919128844605,-0.7763191302474127,23.0,0.32991696585678787,0.024383799250786143,0.6339655569494901
DEV,FULL_4,1,10:30,VWAP_RECLAIM,60,439,75,0.17084282460136674,75,75,0.27463317759596517,0.20289855072462598,0.56,1.5310943674759516,-1.0127554346293886,23.0,0.2746331775959651,-0.04427436611881274,0.642581330194051
DEV,FULL_4,1,10:30,VWAP_RECLAIM,120,439,75,0.17084282460136674,75,75,0.10586274436822155,0.2339832869080652,0.5333333333333333,1.8081664636348755,-1.3742652983368957,23.0,0.10586274436822153,-0.32172406058772823,0.536919803576544
DEV,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,30,439,24,0.05466970387243736,24,24,0.4792823241231395,-0.1759536058936305,0.4583333333333333,1.5986053144252133,-1.2114865774032573,28.75,0.4792823241231394,-0.5454667577495718,2.0178498984398634
DEV,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,60,439,24,0.05466970387243736,24,24,0.6153404923441418,-0.06546966930411335,0.5,2.264922150157895,-1.5539787851552214,28.75,0.6153404923441416,-0.5332684734129183,2.262510843042196
DEV,FULL_4,1,11:00,CONSOLIDATION_BREAKOUT,120,439,24,0.05466970387243736,24,24,0.9602935079175348,-0.12884969835740823,0.5,3.1177426669087986,-1.9672585201068538,28.75,0.9602935079175348,-0.4440736291911269,2.7851474107154206
DEV,FULL_4,1,11:00,IMMEDIATE,30,439,439,1.0,439,439,0.032204752893749786,-0.09870740305523365,0.4646924829157175,1.2512368503446112,-1.1161719336467255,5.0,0.03220475289374977,-0.10890417625279561,0.18194228295246923
DEV,FULL_4,1,11:00,IMMEDIATE,60,439,439,1.0,439,439,0.1331691065672348,0.007092198581553781,0.5011389521640092,1.7109761873170197,-1.4460004992412727,5.0,0.13316910656723477,-0.07544511846229482,0.35710044522132156
DEV,FULL_4,1,11:00,IMMEDIATE,120,439,439,1.0,439,439,0.11719919573891793,-0.17811158798283686,0.4760820045558087,2.240246667380159,-1.8975130532102455,5.0,0.11719919573891785,-0.15894329335333046,0.4068542527659151
DEV,FULL_4,1,11:00,PULLBACK_NEW_HIGH,30,439,127,0.28929384965831434,127,127,0.37042698855814343,0.0,0.4881889763779528,1.5060345051274837,-1.070649745140299,21.5748031496063,0.3704269885581433,0.02677889977302674,0.7563504768421713
DEV,FULL_4,1,11:00,PULLBACK_NEW_HIGH,60,439,127,0.28929384965831434,127,127,0.4806349820340955,0.24123588829471912,0.5826771653543307,2.0714651456796935,-1.3108111896807468,21.5748031496063,0.48063498203409555,0.08878799272817262,0.9265458813558891
DEV,FULL_4,1,11:00,PULLBACK_NEW_HIGH,120,439,127,0.28929384965831434,127,127,0.6205688465440806,0.37735849056603865,0.5748031496062992,2.6478232461095033,-1.6914860302995989,21.5748031496063,0.6205688465440804,0.12497828776979907,1.130096187108891
DEV,FULL_4,1,11:00,VWAP_RECLAIM,30,439,61,0.13895216400911162,61,61,0.0310299908079008,-0.03849037740562954,0.4918032786885246,1.1130942652525926,-1.044686791971488,22.78688524590164,0.03102999080790084,-0.3064000675283803,0.3742579858119359
DEV,FULL_4,1,11:00,VWAP_RECLAIM,60,439,61,0.13895216400911162,61,61,0.0258515316766575,-0.19058893163659313,0.4426229508196721,1.4723324298939127,-1.4031371943101008,22.78688524590164,0.02585153167665755,-0.4130697558286608,0.49580233859729284
