split,score_family,top_k,snapshot_time,entry_variant,horizon_min,paired_events,paired_sessions,alt_avg_fwd_atr,immediate_avg_fwd_atr,improvement_atr,session_improvement_atr,improvement_ci_low,improvement_ci_high,improvement_positive_session_rate
DEV,FULL_4,1,10:30,VWAP_RECLAIM,30,75,75,0.3299169658567879,-0.54708442499805,0.8770013908548381,0.8770013908548381,0.6042642922542112,1.128257367723204,0.7733333333333333
DEV,FULL_4,1,10:30,VWAP_RECLAIM,60,75,75,0.27463317759596517,-0.5127646574374158,0.7873978350333811,0.7873978350333811,0.5082296175428275,1.0554729602291395,0.76
DEV,FULL_4,1,10:30,VWAP_RECLAIM,120,75,75,0.10586274436822155,-0.5854771872001874,0.6913399315684088,0.6913399315684089,0.487410092569382,0.9012354615902493,0.7466666666666667
DEV,FULL_4,1,11:00,VWAP_RECLAIM,30,61,61,0.0310299908079008,-0.8892009742041175,0.9202309650120184,0.9202309650120182,0.5285958069437433,1.344322672520372,0.6885245901639344
DEV,FULL_4,1,11:00,VWAP_RECLAIM,60,61,61,0.0258515316766575,-0.7306552171034495,0.7565067487801072,0.756506748780107,0.37782399919416576,1.1711183753879097,0.639344262295082
DEV,FULL_4,1,11:00,VWAP_RECLAIM,120,61,61,-0.10822345518187919,-1.0381926783727715,0.9299692231908924,0.9299692231908924,0.5957042778630315,1.2742534111201282,0.7540983606557377
DEV,FULL_4,3,10:30,VWAP_RECLAIM,30,277,206,0.2295251865282027,-0.4384543010671857,0.6679794875953884,0.7161874209833633,0.5461312972729253,0.8885909221435905,0.7427184466019418
DEV,FULL_4,3,10:30,VWAP_RECLAIM,60,277,206,0.21681783637103874,-0.3207387369786814,0.5375565733497202,0.6035340779367255,0.47681995775372715,0.7533669768669673,0.7330097087378641
DEV,FULL_4,3,10:30,VWAP_RECLAIM,120,277,206,0.04755269468131541,-0.44963612578957896,0.4971888204708943,0.5080863388275942,0.3821046781449125,0.630183306484249,0.6796116504854369
DEV,FULL_4,3,11:00,VWAP_RECLAIM,30,198,154,0.027558062204961455,-0.6784252056092188,0.7059832678141804,0.6586365371059943,0.4574753939551439,0.8679167032451213,0.6883116883116883
DEV,FULL_4,3,11:00,VWAP_RECLAIM,60,198,154,-0.09790062428810328,-0.6538230988351552,0.5559224745470521,0.5906307196156656,0.3892880114284517,0.8000712751038339,0.6493506493506493
DEV,FULL_4,3,11:00,VWAP_RECLAIM,120,198,154,-0.4015953949756402,-0.9910388960477575,0.5894435010721173,0.5740030386990675,0.36050130736020974,0.7845310081908351,0.7337662337662337
DEV,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,30,86,86,0.2310599317133447,-0.4122876079534629,0.6433475396668076,0.6433475396668078,0.3925950333335185,0.9800038204786973,0.6976744186046512
DEV,MOMENTUM_ONLY,1,10:30,VWAP_RECLAIM,60,86,86,0.016616660097494313,-0.36643957169783453,0.38305623179532877,0.38305623179532877,0.20480605494725776,0.5911956070450062,0.6511627906976745
