split,snapshot_time,score_family,top_k,horizon_min,paired_sessions,leader_session_avg_atr,bottom_session_avg_atr,spread_atr,spread_ci_low,spread_ci_high,positive_spread_session_rate
DEV,09:45,MOMENTUM_ONLY,1,60,449,-0.2155432960120101,-0.03425672666226259,-0.18128656934974752,-0.33875194654737273,-0.029860099519778433,0.4365256124721604
DEV,09:45,MOMENTUM_ONLY,1,120,449,-0.23368857498957982,-0.02475551445527779,-0.20893306053430208,-0.40735963617910304,0.004361807525449293,0.4209354120267261
DEV,09:45,MOMENTUM_ONLY,3,60,450,-0.04491434195678027,-0.038757767747064756,-0.006156574209715531,-0.10826598714581201,0.09726407237994976,0.48444444444444446
DEV,09:45,MOMENTUM_ONLY,3,120,450,-0.026482286294377193,-0.030699900621987183,0.004217614327609967,-0.12586748550498253,0.13557510366187395,0.47333333333333333
DEV,09:45,MOMENTUM_ONLY,5,60,450,-0.04677189077915407,-0.038757767747064756,-0.008014123032089293,-0.09452498890214692,0.07231490326500566,0.48
DEV,09:45,MOMENTUM_ONLY,5,120,450,-0.029252196401291883,-0.030699900621987183,0.0014477042206953192,-0.11162504630506394,0.12098944030982363,0.4888888888888889
DEV,09:45,MOMENTUM_VOLUME,1,60,441,-0.08700363574174022,-0.03529224345141703,-0.05171139229032323,-0.21994267444276122,0.11446468781985339,0.45351473922902497
DEV,09:45,MOMENTUM_VOLUME,1,120,441,-0.1230449890237826,-0.01721201171700855,-0.10583297730677402,-0.31672251004433405,0.12031990108445159,0.4489795918367347
DEV,09:45,MOMENTUM_VOLUME,3,60,441,-0.0756236537519571,-0.03529224345141703,-0.04033141030054006,-0.1401783606268302,0.059221031871930035,0.4671201814058957
DEV,09:45,MOMENTUM_VOLUME,3,120,441,-0.0881474442769592,-0.01721201171700855,-0.07093543255995066,-0.21437729818712872,0.0544562186853934,0.4512471655328798
DEV,09:45,MOMENTUM_VOLUME,5,60,441,-0.024449835648174344,-0.03529224345141703,0.010842407803242674,-0.0781147167856822,0.10353363884543054,0.49206349206349204
DEV,09:45,MOMENTUM_VOLUME,5,120,441,-0.031622999661771886,-0.01721201171700855,-0.014410987944763334,-0.12379824693187975,0.10362489953125997,0.47619047619047616
DEV,09:45,QUALITY_3,1,60,441,-0.06305419530181543,-0.03693699016290998,-0.026117205138905433,-0.1904961015466529,0.13950513746646118,0.47165532879818595
DEV,09:45,QUALITY_3,1,120,441,-0.08118789614675981,-0.027393030758768505,-0.05379486538799131,-0.24468411004574186,0.15923809226354144,0.46938775510204084
DEV,09:45,QUALITY_3,3,60,441,-0.031146914080273702,-0.03693699016290998,0.005790076082636294,-0.09638575632227886,0.11907188139767935,0.48299319727891155
DEV,09:45,QUALITY_3,3,120,441,-0.024077689198320443,-0.027393030758768505,0.0033153415604480316,-0.14134848696453683,0.1410803555429771,0.47619047619047616
DEV,09:45,QUALITY_3,5,60,441,-0.027580217387128906,-0.03693699016290998,0.009356772775781053,-0.08194863894598532,0.11018931716925864,0.4875283446712018
DEV,09:45,QUALITY_3,5,120,441,-0.009880126832218783,-0.027393030758768505,0.0175129039265497,-0.09791123579088529,0.13931019762177418,0.47392290249433106
DEV,09:45,FULL_4,1,60,441,-0.02646341720902073,-0.037348938767218336,0.010885521558197586,-0.16907336065091863,0.1883063769003399,0.46485260770975056
DEV,09:45,FULL_4,1,120,441,0.039267294196622574,-0.018548354839928755,0.05781564903655138,-0.1622882473222909,0.26752109375853395,0.47165532879818595
DEV,09:45,FULL_4,3,60,441,-0.029334094414468152,-0.037348938767218336,0.008014844352750168,-0.09693817996924123,0.11802279581626193,0.46258503401360546
DEV,09:45,FULL_4,3,120,441,0.00406971611653068,-0.018548354839928755,0.022618070956459447,-0.11795579357613932,0.14704329413215597,0.47165532879818595
DEV,09:45,FULL_4,5,60,441,-0.03270556764434671,-0.037348938767218336,0.004643371122871653,-0.0854764577461908,0.0957151298871013,0.4965986394557823
DEV,09:45,FULL_4,5,120,441,0.019463812752608892,-0.018548354839928755,0.03801216759253768,-0.07683715687277426,0.15160562573629807,0.4875283446712018
DEV,10:00,MOMENTUM_ONLY,1,60,446,-0.09347615946410809,-0.001136512059719508,-0.09233964740438858,-0.23609726700177242,0.04320174428821933,0.4551569506726457
DEV,10:00,MOMENTUM_ONLY,1,120,446,-0.1675363879204336,-0.003948364949490361,-0.1635880229709433,-0.33266717368648246,0.014157355334741524,0.4663677130044843
DEV,10:00,MOMENTUM_ONLY,3,60,448,0.023008237034198877,-0.006627781952024232,0.029636018986223093,-0.054310067480630386,0.1322160556374773,0.5223214285714286
DEV,10:00,MOMENTUM_ONLY,3,120,448,-0.00652794591790127,-0.012291166773366861,0.005763220855465593,-0.11672595194139021,0.13113195254246035,0.4799107142857143
DEV,10:00,MOMENTUM_ONLY,5,60,448,0.02049461027063565,-0.006627781952024232,0.02712239222265989,-0.050871237465676684,0.10857711556634005,0.5178571428571429
DEV,10:00,MOMENTUM_ONLY,5,120,448,0.006599340140143101,-0.012291166773366861,0.01889050691350999,-0.07780054109367317,0.12127543756568418,0.4888392857142857
DEV,10:00,MOMENTUM_VOLUME,1,60,439,0.03914701457727115,0.0040200394895864265,0.0351269750876847,-0.12443166064378472,0.18827592840575066,0.4760820045558087
DEV,10:00,MOMENTUM_VOLUME,1,120,439,-0.0036399308687250784,0.004920614600852598,-0.008560545469577628,-0.19357736282086643,0.1901559182922268,0.46697038724373574
DEV,10:00,MOMENTUM_VOLUME,3,60,439,0.07360226638215717,0.0040200394895864265,0.06958222689257075,-0.027707461126440625,0.17195869569397956,0.5261958997722096
DEV,10:00,MOMENTUM_VOLUME,3,120,439,0.07260638546895097,0.004920614600852598,0.06768577086809838,-0.06071839091188033,0.20631762899322104,0.5034168564920274
DEV,10:00,MOMENTUM_VOLUME,5,60,439,0.04460169802021423,0.0040200394895864265,0.04058165853062781,-0.03992312879589421,0.129613446357178,0.5079726651480638
DEV,10:00,MOMENTUM_VOLUME,5,120,439,0.05269395611957398,0.004920614600852598,0.047773341518721396,-0.05736480459586681,0.1506330764721311,0.510250569476082
DEV,10:00,QUALITY_3,1,60,439,-0.0019892693262892527,-0.007027047902506749,0.005037778576217474,-0.1499676202773438,0.16875013209087072,0.4760820045558087
DEV,10:00,QUALITY_3,1,120,439,-0.024911034823090965,-0.01047313694874818,-0.014437897874342754,-0.20133596683408111,0.16399252979804654,0.4760820045558087
DEV,10:00,QUALITY_3,3,60,439,0.06072260060893743,-0.007027047902506749,0.06774964851144417,-0.02517227356616963,0.1656562833173558,0.5193621867881549
DEV,10:00,QUALITY_3,3,120,439,0.04854757067429067,-0.01047313694874818,0.05902070762303888,-0.0636242359969023,0.19774417116620893,0.47380410022779046
DEV,10:00,QUALITY_3,5,60,439,0.06503386174896747,-0.007027047902506749,0.07206090965147421,-0.005189704488920542,0.1516777079812197,0.5193621867881549
DEV,10:00,QUALITY_3,5,120,439,0.09223383063283655,-0.01047313694874818,0.10270696758158475,-0.008448009634405753,0.22072220655703273,0.5353075170842825
DEV,10:00,FULL_4,1,60,439,0.024637873453152246,0.0031655096670314,0.021472363786120843,-0.13199091166518748,0.18286273473783837,0.48519362186788156
DEV,10:00,FULL_4,1,120,439,0.07710743889250996,0.007521271547915185,0.06958616734459475,-0.10881032880033763,0.25686244230437705,0.5034168564920274
