split,snapshot_time,score_family,top_k,horizon_min,future_winners,selected_events,winners_captured,winner_capture_rate,precision
DEV,09:45,MOMENTUM_ONLY,1,60,2250,449,19,0.008444444444444444,0.042316258351893093
DEV,09:45,MOMENTUM_ONLY,3,60,2250,1349,89,0.03955555555555555,0.06597479614529281
DEV,09:45,MOMENTUM_ONLY,5,60,2250,2249,143,0.06355555555555556,0.06358381502890173
DEV,09:45,MOMENTUM_VOLUME,1,60,2250,441,25,0.011111111111111112,0.05668934240362812
DEV,09:45,MOMENTUM_VOLUME,3,60,2250,1323,93,0.04133333333333333,0.07029478458049887
DEV,09:45,MOMENTUM_VOLUME,5,60,2250,2205,166,0.07377777777777778,0.07528344671201814
DEV,09:45,QUALITY_3,1,60,2250,441,29,0.012888888888888889,0.06575963718820861
DEV,09:45,QUALITY_3,3,60,2250,1323,107,0.04755555555555555,0.08087679516250945
DEV,09:45,QUALITY_3,5,60,2250,2205,168,0.07466666666666667,0.0761904761904762
DEV,09:45,FULL_4,1,60,2250,441,31,0.013777777777777778,0.07029478458049887
DEV,09:45,FULL_4,3,60,2250,1323,98,0.043555555555555556,0.07407407407407407
DEV,09:45,FULL_4,5,60,2250,2205,158,0.07022222222222223,0.07165532879818594
DEV,09:45,MOMENTUM_ONLY,1,120,2250,449,18,0.008,0.0400890868596882
DEV,09:45,MOMENTUM_ONLY,3,120,2250,1349,79,0.035111111111111114,0.05856189770200148
DEV,09:45,MOMENTUM_ONLY,5,120,2250,2249,135,0.06,0.06002667852378835
DEV,09:45,MOMENTUM_VOLUME,1,120,2250,441,28,0.012444444444444444,0.06349206349206349
DEV,09:45,MOMENTUM_VOLUME,3,120,2250,1323,88,0.03911111111111111,0.06651549508692366
DEV,09:45,MOMENTUM_VOLUME,5,120,2250,2205,162,0.072,0.07346938775510205
DEV,09:45,QUALITY_3,1,120,2250,441,27,0.012,0.061224489795918366
DEV,09:45,QUALITY_3,3,120,2250,1323,97,0.043111111111111114,0.07331821617535904
DEV,09:45,QUALITY_3,5,120,2250,2205,161,0.07155555555555555,0.07301587301587302
DEV,09:45,FULL_4,1,120,2250,441,38,0.016888888888888887,0.08616780045351474
DEV,09:45,FULL_4,3,120,2250,1323,98,0.043555555555555556,0.07407407407407407
DEV,09:45,FULL_4,5,120,2250,2205,160,0.07111111111111111,0.07256235827664399
DEV,10:00,MOMENTUM_ONLY,1,60,2240,446,22,0.009821428571428571,0.04932735426008968
DEV,10:00,MOMENTUM_ONLY,3,60,2240,1342,87,0.038839285714285715,0.06482861400894188
DEV,10:00,MOMENTUM_ONLY,5,60,2240,2238,141,0.06294642857142857,0.06300268096514745
DEV,10:00,MOMENTUM_VOLUME,1,60,2240,439,34,0.015178571428571428,0.0774487471526196
DEV,10:00,MOMENTUM_VOLUME,3,60,2240,1317,101,0.045089285714285714,0.07668944570994685
DEV,10:00,MOMENTUM_VOLUME,5,60,2240,2195,158,0.07053571428571428,0.07198177676537586
DEV,10:00,QUALITY_3,1,60,2240,439,28,0.0125,0.06378132118451026
DEV,10:00,QUALITY_3,3,60,2240,1317,98,0.04375,0.07441154138192863
DEV,10:00,QUALITY_3,5,60,2240,2195,164,0.07321428571428572,0.07471526195899772
DEV,10:00,FULL_4,1,60,2240,439,34,0.015178571428571428,0.0774487471526196
DEV,10:00,FULL_4,3,60,2240,1317,101,0.045089285714285714,0.07668944570994685
DEV,10:00,FULL_4,5,60,2240,2195,163,0.07276785714285715,0.07425968109339408
DEV,10:00,MOMENTUM_ONLY,1,120,2240,446,18,0.008035714285714285,0.04035874439461883
DEV,10:00,MOMENTUM_ONLY,3,120,2240,1342,78,0.03482142857142857,0.05812220566318927
DEV,10:00,MOMENTUM_ONLY,5,120,2240,2238,138,0.06160714285714286,0.06166219839142091
DEV,10:00,MOMENTUM_VOLUME,1,120,2240,439,34,0.015178571428571428,0.0774487471526196
