selection,trades,starting_capital,net_pnl,ending_capital,return_pct,win_rate,total_charges,profit_factor,split,entry_variant,stop_mode,exit_mode
TOP1,918,100000.0,-74149.97793225179,25850.022067748214,-74.14997793225179,0.30718954248366015,46180.86757261367,0.5696644462100745,DEV,IMMEDIATE,ATR1,TIME60
TOP2,1616,100000.0,-72077.90580313819,27922.094196861814,-72.0779058031382,0.3025990099009901,49614.860343500375,0.5917738012310942,DEV,IMMEDIATE,ATR1,TIME60
TOP3,2026,100000.0,-65676.22068390671,34323.77931609329,-65.6762206839067,0.2966436327739388,43491.91210391116,0.5791200525530573,DEV,IMMEDIATE,ATR1,TIME60
TOP1,704,100000.0,-60511.09468741582,39488.90531258418,-60.51109468741582,0.3025568181818182,40867.553722420285,0.6475920118556899,DEV,IMMEDIATE,ATR1,TIME120
TOP2,1284,100000.0,-62156.44333163313,37843.55666836687,-62.15644333163313,0.29127725856697817,45385.738099852024,0.6614264425121233,DEV,IMMEDIATE,ATR1,TIME120
TOP3,1649,100000.0,-57630.24110753797,42369.75889246203,-57.63024110753797,0.2856276531231049,38606.851905756106,0.6295307296716046,DEV,IMMEDIATE,ATR1,TIME120
TOP1,860,100000.0,-70406.9656533257,29593.034346674307,-70.4069656533257,0.35348837209302325,45747.11346761635,0.6271755094061184,DEV,IMMEDIATE,ATR1,TARGET2R_EOD
TOP2,1550,100000.0,-73084.98728665375,26915.012713346252,-73.08498728665374,0.3548387096774194,47406.9761616586,0.6123410826076192,DEV,IMMEDIATE,ATR1,TARGET2R_EOD
TOP3,1965,100000.0,-66795.10600782293,33204.893992177065,-66.79510600782294,0.3526717557251908,42420.38617425575,0.6010738400736627,DEV,IMMEDIATE,ATR1,TARGET2R_EOD
TOP1,869,100000.0,-62618.37929038169,37381.62070961831,-62.61837929038169,0.3578826237054085,40845.35537520725,0.5906266686415093,DEV,IMMEDIATE,ATR1_5,TIME60
TOP2,1535,100000.0,-70547.80468280007,29452.195317199934,-70.54780468280006,0.34201954397394135,46493.046883519026,0.5845158999346486,DEV,IMMEDIATE,ATR1_5,TIME60
TOP3,1943,100000.0,-64406.121849414805,35593.878150585195,-64.40612184941482,0.33710756562017496,41845.6900699549,0.5865745666552215,DEV,IMMEDIATE,ATR1_5,TIME60
TOP1,600,100000.0,-45539.24661994783,54460.75338005217,-45.539246619947825,0.35833333333333334,30911.470450308407,0.6708220244522493,DEV,IMMEDIATE,ATR1_5,TIME120
TOP2,1111,100000.0,-58437.15372993134,41562.84627006866,-58.437153729931346,0.34743474347434744,39338.906265292586,0.6579010925810034,DEV,IMMEDIATE,ATR1_5,TIME120
TOP3,1464,100000.0,-54902.00235682126,45097.99764317874,-54.90200235682126,0.34289617486338797,34961.1037011106,0.6413136126135841,DEV,IMMEDIATE,ATR1_5,TIME120
TOP1,679,100000.0,-49118.248650343376,50881.751349656624,-49.118248650343375,0.36524300441826213,36271.971166954565,0.7293136923268488,DEV,IMMEDIATE,ATR1_5,TARGET2R_EOD
TOP2,1251,100000.0,-61087.94193238401,38912.05806761599,-61.087941932384005,0.3645083932853717,44911.801449174636,0.7203755209483681,DEV,IMMEDIATE,ATR1_5,TARGET2R_EOD
TOP3,1624,100000.0,-58618.90869430486,41381.09130569514,-58.618908694304864,0.3602216748768473,38300.35495091607,0.6919136881051928,DEV,IMMEDIATE,ATR1_5,TARGET2R_EOD
TOP1,147,100000.0,-18315.586811613444,81684.41318838656,-18.31558681161344,0.32653061224489793,10583.53142947172,0.5561398523300523,DEV,VWAP_RECLAIM,ATR1,TIME60
