split,delay_min,condition,condition_value,events,positive_rate_120m,avg_120m_r,median_120m_r,trimmed_mean_120m_r
DEV,5,stayed_above_or_high,True,415,0.5228915662650603,0.34183849107763903,0.14094432699083848,0.19467755410646956
DEV,5,stayed_above_or_high,False,56,0.39285714285714285,-0.4443113379004536,-0.40795940820694754,-0.44859018183653554
DEV,5,pulled_back_to_or_high,True,127,0.5354330708661418,0.3206624635143241,0.1939690301548537,0.15868976372469373
DEV,5,pulled_back_to_or_high,False,344,0.49709302325581395,0.22167850583859203,-0.012976364628942298,0.10306438267200765
DEV,5,went_below_vwap,True,14,0.2857142857142857,-1.0443778505669763,-1.5285824960806225,-1.0922742646939032
DEV,5,went_below_vwap,False,457,0.5142231947483589,0.287971178955651,0.07786429365962193,0.14663945598653025
DEV,5,made_new_high_before_entry,True,282,0.5141843971631206,0.23171527514810286,0.11681528194204976,0.12691825314031294
DEV,5,made_new_high_before_entry,False,189,0.4973544973544973,0.2732160385345493,-0.009607136730155466,0.10962430069524548
DEV,5,failed_breakout_recovered,False,471,0.5074309978768577,0.24836844771718652,0.03921568627450231,0.11625041581285149
DEV,15,stayed_above_or_high,True,356,0.5224719101123596,0.2994223349054886,0.08676833252353068,0.16377317756489357
DEV,15,stayed_above_or_high,False,106,0.5094339622641509,0.050349491455289955,0.01405147652955156,0.012941237576356119
DEV,15,pulled_back_to_or_high,True,122,0.5,0.2508680924156542,-0.028961498027977123,0.09840675666152376
DEV,15,pulled_back_to_or_high,False,340,0.5264705882352941,0.2391926177820731,0.10022447632806834,0.13538219497652934
DEV,15,went_below_vwap,True,52,0.38461538461538464,-0.30554761036531053,-0.3016847988775682,-0.28732694824221305
DEV,15,went_below_vwap,False,410,0.5365853658536586,0.31175578795027037,0.11679644048943508,0.19016801593959304
DEV,15,made_new_high_before_entry,True,343,0.5160349854227405,0.24435631223157842,0.06714628297363648,0.12274195998657174
DEV,15,made_new_high_before_entry,False,119,0.5294117647058824,0.23627884222843085,0.18555334658718492,0.13655066126874987
DEV,15,failed_breakout_recovered,True,28,0.6428571428571429,0.5654190359537898,0.25975823367860895,0.49927040973854053
DEV,15,failed_breakout_recovered,False,434,0.511520737327189,0.22142779795831466,0.059655113398535284,0.09936055193615972
DEV,30,stayed_above_or_high,True,311,0.5080385852090032,0.209847341645132,0.023748939779452558,0.07326918258780403
DEV,30,stayed_above_or_high,False,135,0.4962962962962963,0.09161335102190123,0.0,0.06271958784305745
DEV,30,pulled_back_to_or_high,True,113,0.4690265486725664,0.04987727077120664,-0.07080459770114401,-0.04562947462473666
DEV,30,pulled_back_to_or_high,False,333,0.5165165165165165,0.21619878090824732,0.04611330698287239,0.10813086355603796
DEV,30,went_below_vwap,True,90,0.4666666666666667,0.053272102862855185,-0.05301506711352792,0.030113251588823345
DEV,30,went_below_vwap,False,356,0.5140449438202247,0.20459504601667342,0.04423380726698006,0.08667284113574102
DEV,30,made_new_high_before_entry,True,356,0.5056179775280899,0.1434099985195812,0.018016919249799885,0.06302505635303574
DEV,30,made_new_high_before_entry,False,90,0.5,0.295292957406909,0.022459893048130557,0.10602335245330906
DEV,30,failed_breakout_recovered,True,48,0.5208333333333334,0.1716304283656315,0.09125774958609104,0.1475538837193982
DEV,30,failed_breakout_recovered,False,398,0.5025125628140703,0.17435192230663918,0.012203033140158755,0.06235312955816417
DEV,60,stayed_above_or_high,True,240,0.4625,0.07997687123449042,-0.05725530753541104,-0.005153348335210491
DEV,60,stayed_above_or_high,False,167,0.46107784431137727,0.02125398991428421,-0.09296148738379827,-0.04631179972423312
DEV,60,pulled_back_to_or_high,True,82,0.45121951219512196,0.14938241907516148,-0.03253877274463508,0.012838376895687904
DEV,60,pulled_back_to_or_high,False,325,0.4646153846153846,0.03229079091630748,-0.09258111179998223,-0.028906844671405963
DEV,60,went_below_vwap,True,140,0.44285714285714284,-0.050468778809211946,-0.21563103213768586,-0.13142841198739083
DEV,60,went_below_vwap,False,267,0.47191011235955055,0.11164604661143383,-0.02794411177646397,0.04221501298166123
