split,delay_min,bucket,count,rate
DEV,5,<-2R,39,0.08280254777070063
DEV,5,-2..-1R,69,0.1464968152866242
DEV,5,-1..-0.5R,57,0.12101910828025478
DEV,5,-0.5..0R,67,0.14225053078556263
DEV,5,0..0.5R,58,0.12314225053078556
DEV,5,0.5..1R,51,0.10828025477707007
DEV,5,1..2R,62,0.1316348195329087
DEV,5,>2R,68,0.14437367303609341
DEV,15,<-2R,35,0.07575757575757576
DEV,15,-2..-1R,74,0.16017316017316016
DEV,15,-1..-0.5R,53,0.11471861471861472
DEV,15,-0.5..0R,58,0.12554112554112554
DEV,15,0..0.5R,63,0.13636363636363635
DEV,15,0.5..1R,46,0.09956709956709957
DEV,15,1..2R,75,0.16233766233766234
DEV,15,>2R,58,0.12554112554112554
DEV,30,<-2R,31,0.06950672645739911
DEV,30,-2..-1R,76,0.17040358744394618
DEV,30,-1..-0.5R,45,0.10089686098654709
DEV,30,-0.5..0R,66,0.14798206278026907
DEV,30,0..0.5R,62,0.13901345291479822
DEV,30,0.5..1R,50,0.11210762331838565
DEV,30,1..2R,61,0.1367713004484305
DEV,30,>2R,55,0.12331838565022421
DEV,60,<-2R,42,0.10319410319410319
DEV,60,-2..-1R,62,0.15233415233415235
DEV,60,-1..-0.5R,55,0.13513513513513514
DEV,60,-0.5..0R,55,0.13513513513513514
DEV,60,0..0.5R,42,0.10319410319410319
DEV,60,0.5..1R,51,0.12530712530712532
DEV,60,1..2R,57,0.14004914004914004
DEV,60,>2R,43,0.10565110565110565
VALIDATION,5,<-2R,14,0.1037037037037037
VALIDATION,5,-2..-1R,19,0.14074074074074075
VALIDATION,5,-1..-0.5R,15,0.1111111111111111
VALIDATION,5,-0.5..0R,15,0.1111111111111111
VALIDATION,5,0..0.5R,24,0.17777777777777778
VALIDATION,5,0.5..1R,7,0.05185185185185185
VALIDATION,5,1..2R,26,0.1925925925925926
VALIDATION,5,>2R,15,0.1111111111111111
VALIDATION,15,<-2R,9,0.06666666666666667
VALIDATION,15,-2..-1R,16,0.11851851851851852
VALIDATION,15,-1..-0.5R,16,0.11851851851851852
VALIDATION,15,-0.5..0R,31,0.22962962962962963
VALIDATION,15,0..0.5R,23,0.17037037037037037
VALIDATION,15,0.5..1R,11,0.08148148148148149
VALIDATION,15,1..2R,17,0.1259259259259259
VALIDATION,15,>2R,12,0.08888888888888889
VALIDATION,30,<-2R,8,0.06153846153846154
VALIDATION,30,-2..-1R,23,0.17692307692307693
VALIDATION,30,-1..-0.5R,14,0.1076923076923077
VALIDATION,30,-0.5..0R,17,0.13076923076923078
VALIDATION,30,0..0.5R,32,0.24615384615384617
VALIDATION,30,0.5..1R,12,0.09230769230769231
VALIDATION,30,1..2R,18,0.13846153846153847
VALIDATION,30,>2R,6,0.046153846153846156
VALIDATION,60,<-2R,9,0.07086614173228346
VALIDATION,60,-2..-1R,13,0.10236220472440945
VALIDATION,60,-1..-0.5R,22,0.1732283464566929
VALIDATION,60,-0.5..0R,22,0.1732283464566929
VALIDATION,60,0..0.5R,20,0.15748031496062992
VALIDATION,60,0.5..1R,19,0.14960629921259844
VALIDATION,60,1..2R,13,0.10236220472440945
VALIDATION,60,>2R,9,0.07086614173228346
