split,symbol,session,signal_time,retest_time,minutes_to_retest,signal_rvol,gap_pct,breakout_extension_atr,max_extension_before_retest_atr,deepest_pullback_vs_or_atr,retest_close_vs_or_atr,retest_close_vs_vwap_pct,retest_rvol,retest_above_vwap,retest_bullish,entry,atr,fwd_30m_r,fwd_60m_r,fwd_120m_r,example_type
DEV,SHRIRAMFIN,2024-07-26,2024-07-26 12:25:00+05:30,2024-07-26 13:00:00+05:30,35.0,5.071391736628231,1.0362210604929034,2.7783505154639045,3.788659793814393,-0.0721649484536239,0.3247422680412665,0.013746577770024082,1.9884992532835815,True,False,550.2,1.3857142857143003,12.01546391752563,16.453608247422473,25.546391752577033,SUCCESS
DEV,HINDZINC,2025-03-19,2025-03-19 09:35:00+05:30,2025-03-19 09:40:00+05:30,5.0,3.6853111755520858,1.018190138428099,0.30616302186879457,0.8628230616302278,-0.4174950298210749,0.2783300198807166,0.376819029454567,0.6913900745807089,True,False,445.4,1.7964285714285657,5.733598409542768,11.606361829025895,12.691848906560683,SUCCESS
DEV,BAJAJHLDNG,2024-09-18,2024-09-18 10:45:00+05:30,2024-09-18 11:25:00+05:30,40.0,5.086435898483796,1.065891472868219,0.7897790396247445,1.4966053573632525,-0.6912726823848857,0.5201826934946013,0.2197105162176305,1.1854803561422078,True,False,10485.05,28.932142857143067,-1.2131835575854242,-1.211455375879487,10.521170225898011,SUCCESS
DEV,NTPC,2025-04-15,2025-04-15 12:40:00+05:30,2025-04-15 13:05:00+05:30,25.0,5.4547511149363945,2.086230876216977,2.491525423728874,3.440677966101714,0.0,0.0,0.207171163502462,0.40502489778588485,True,False,367.0,0.42142857142856577,-1.542372881355899,-6.050847457627227,-9.016949152542521,FAIL
DEV,COALINDIA,2024-11-25,2024-11-25 10:45:00+05:30,2024-11-25 10:55:00+05:30,10.0,3.6671958049441726,1.68692632101215,0.7702265372167925,1.404530744336519,0.0,0.22653721682847744,0.3257219495752084,1.3962860518308067,True,False,414.85,1.103571428571436,-1.087378640776733,-2.22006472491912,-6.977346278317147,FAIL
DEV,RECLTD,2025-06-24,2025-06-24 12:05:00+05:30,2025-06-24 12:15:00+05:30,10.0,3.0384178128235613,1.6011094301563222,3.8705882352941554,4.200000000000019,0.16470588235297864,0.16470588235297864,-0.045360733815069665,1.3134469345266668,False,False,403.05,0.6071428571428571,-0.9058823529411952,-1.9764705882352755,-6.258823529411784,FAIL
VALIDATION,HDFCAMC,2025-12-18,2025-12-18 11:40:00+05:30,2025-12-18 11:45:00+05:30,5.0,5.352110484341567,2.1167415009621493,0.31460674157295104,0.5842696629213262,-0.9662921348314988,0.1797752808988146,0.7460639944043335,3.948456114758084,True,False,2619.1,4.450000000000013,1.303370786516891,4.7865168539326115,7.955056179775279,SUCCESS
VALIDATION,ADANIPOWER,2025-09-19,2025-09-19 12:20:00+05:30,2025-09-19 12:25:00+05:30,5.0,73.64469373021603,6.708760852407258,0.6461538461538038,2.7999999999999385,-1.6153846153846012,2.4769230769230677,2.2503286049065485,87.48653516827713,True,True,138.55,0.46428571428571835,6.676923076923006,8.61538461538454,7.753846153846074,SUCCESS
VALIDATION,SUNPHARMA,2025-07-15,2025-07-15 11:20:00+05:30,2025-07-15 11:25:00+05:30,5.0,8.65892094874346,1.3855027650591545,0.3532110091743565,0.9954128440367431,-1.0596330275229233,0.6100917431192966,0.5449088847373718,1.1470753206030693,True,True,1712.7,3.1142857142857077,2.66513761467889,3.9495412844036637,4.1743119266055135,SUCCESS
VALIDATION,HDFCBANK,2025-10-23,2025-10-23 13:10:00+05:30,2025-10-23 13:20:00+05:30,10.0,3.787393999009543,1.195219123505975,0.5384615384615228,1.49572649572649,-0.8675213675213913,0.1794871794871516,0.4296163581038792,4.901778749055009,True,False,1018.3,1.671428571428578,-0.5683760683760254,-4.995726495726422,-7.149572649572581,FAIL
VALIDATION,CUMMINSIND,2025-11-07,2025-11-07 10:20:00+05:30,2025-11-07 10:35:00+05:30,15.0,18.03845873107274,1.9770082974087888,1.4249585406301706,1.6513266998341565,-0.6326699834162591,0.32794361525702787,1.1100388118490567,10.85327523988492,True,True,4449.4,34.45714285714276,-4.242951907131018,-4.388059701492544,-4.480928689883916,FAIL
VALIDATION,VBL,2025-10-23,2025-10-23 12:25:00+05:30,2025-10-23 12:30:00+05:30,5.0,5.134138213018206,1.045068582625741,0.8571428571428691,1.4285714285714486,0.11428571428574187,0.6285714285714503,0.45665450101608496,1.020992011889281,True,False,470.8,0.8749999999999878,-0.91428571428574,-2.0571428571428987,-4.228571428571475,FAIL
