symbol,signals,retests
ABB,6,3
ADANIENSOL,16,9
ADANIENT,10,7
ADANIGREEN,11,5
ADANIPORTS,8,5
ADANIPOWER,10,7
AMBUJACEM,3,3
APOLLOHOSP,4,3
ASIANPAINT,3,2
AXISBANK,6,2
BAJAJ-AUTO,2,1
BAJAJFINSV,5,1
BAJAJHLDNG,8,4
BAJFINANCE,6,3
BANKBARODA,5,4
BEL,8,4
BHARTIARTL,7,3
BOSCHLTD,5,2
BPCL,13,7
BRITANNIA,2,1
CANBK,7,4
CGPOWER,11,3
CHOLAFIN,10,3
CIPLA,2,1
COALINDIA,5,3
CUMMINSIND,11,4
DIVISLAB,6,5
DLF,11,4
DMART,3,2
DRREDDY,1,0
EICHERMOT,7,4
ENRIN,0,0
ETERNAL,11,6
GAIL,3,3
GODREJCP,5,3
GRASIM,3,1
HAL,5,2
HCLTECH,4,2
HDFCAMC,4,2
HDFCBANK,6,5
HDFCLIFE,3,2
HINDALCO,14,8
HINDUNILVR,4,2
HINDZINC,19,11
HYUNDAI,3,3
ICICIBANK,4,3
INDHOTEL,5,4
INDIGO,13,8
INFY,8,4
IOC,8,7
IRFC,5,1
ITC,4,3
JINDALSTEL,8,3
JIOFIN,8,4
JSWSTEEL,7,5
KOTAKBANK,5,1
LODHA,14,7
LTM,8,2
LT,6,4
M&M,6,1
MARUTI,4,3
MAXHEALTH,12,9
MAZDOCK,12,5
MOTHERSON,10,7
MUTHOOTFIN,13,6
NESTLEIND,2,1
NTPC,4,2
ONGC,10,5
PFC,13,6
PIDILITIND,5,5
PNB,7,6
POWERGRID,2,0
RECLTD,9,5
RELIANCE,4,2
SBILIFE,3,3
SBIN,3,2
SHREECEM,2,1
SHRIRAMFIN,17,11
SIEMENS,9,5
SOLARINDS,7,3
SUNPHARMA,1,1
TATACAP,0,0
TATACONSUM,1,0
TATAPOWER,5,5
TATASTEEL,3,0
TCS,7,4
TECHM,6,3
TITAN,3,3
TMCV,0,0
TMPV,7,3
TORNTPHARM,3,1
TRENT,9,4
TVSMOTOR,2,2
ULTRACEMCO,4,3
UNIONBANK,10,4
UNITDSPR,4,2
VBL,11,6
VEDL,19,10
WIPRO,7,5
ZYDUSLIFE,4,3
