split,selection,stop_mode,horizon_min,trades,win_rate,gross_expectancy_r,net_expectancy_r,profit_factor_net,net_ci_low,net_ci_high,avg_net_pnl_1l,median_net_pnl_1l,avg_charges_1l,stop_rate
DEV,ALL,ATR1,60,65,0.3384615384615385,0.12507568796649846,-0.074653866243228,1.0293591728539586,-0.48223187164670167,0.4114510413494246,8.27492797180563,-326.4107846684476,77.41044817106062,0.4461538461538462
VALIDATION,ALL,ATR1,60,17,0.5882352941176471,0.2935386103325679,0.06406107335600554,1.2840334237170414,-0.5174930558046753,0.6783237724148254,49.341818971464406,81.66336247303941,81.37096149073358,0.35294117647058826
DEV,ALL,ATR1,120,60,0.3333333333333333,0.19144355164171004,0.00285636168445772,1.1473104122075848,-0.441168065589906,0.5079481431965038,45.793850812657254,-390.4303416521361,77.00700271116138,0.5166666666666667
VALIDATION,ALL,ATR1,120,17,0.5294117647058824,0.20987288349141317,-0.019582728244071115,1.074635173463065,-0.5559692307695167,0.6044305420849675,15.25309755089307,79.05252328373903,81.36203438189148,0.4117647058823529
DEV,ALL,ATR1_5,60,65,0.36923076923076925,0.07362367826947695,-0.07599273326837007,0.9269916675953763,-0.38367257652085246,0.26625848280203745,-17.77699396023027,-193.5169974441957,66.35812451518336,0.3384615384615385
VALIDATION,ALL,ATR1_5,60,17,0.5882352941176471,0.14482737324516504,-0.02546505658307357,1.0112669256075932,-0.4645759740286023,0.43593569061140314,2.1261473579833488,68.15641671364885,75.9356830201786,0.29411764705882354
DEV,ALL,ATR1_5,120,60,0.38333333333333336,0.1143763547914487,-0.027854730439754345,0.9991955304827006,-0.39793843246067395,0.32507064026652815,-0.22245756955724877,-251.1345941709857,65.04438129575519,0.43333333333333335
VALIDATION,ALL,ATR1_5,120,17,0.5294117647058824,0.06852145335486282,-0.10175051931007763,0.8304577909019091,-0.5420695555399817,0.3754725587487692,-36.94051023147146,39.52626164186952,75.92491430711067,0.35294117647058826
DEV,ALL,PULLBACK_LOW,60,65,0.2923076923076923,0.13356412009389432,-0.14031668389575774,0.8563911777351612,-0.7107656546724838,0.633237323115627,-42.41467054330003,-305.761575077549,75.01482162023218,0.5230769230769231
VALIDATION,ALL,PULLBACK_LOW,60,17,0.5294117647058824,0.12323262172693947,-0.0756208268593825,1.0310570441884623,-0.5741504010176962,0.44895522626807177,6.160482379725071,58.36971622037359,78.89041909087484,0.35294117647058826
DEV,ALL,PULLBACK_LOW,120,60,0.2833333333333333,0.17555885585310438,-0.08305268843995717,0.9160347652860865,-0.6830787256397587,0.6946842890291286,-26.553724359053042,-336.81560768297834,74.59812535906129,0.6166666666666667
VALIDATION,ALL,PULLBACK_LOW,120,17,0.47058823529411764,0.06554139116636315,-0.13331111521246597,0.8424977426871695,-0.6382432238279664,0.452549335438229,-35.61144215778449,-28.981939125168182,78.88618333426554,0.4117647058823529
DEV,TOP1,ATR1,60,63,0.3333333333333333,0.1233489663491889,-0.07426134259031336,1.0451636307849106,-0.47977197514956155,0.4094918948870409,12.836767549845895,-326.4107846684476,77.32390974041283,0.4603174603174603
VALIDATION,TOP1,ATR1,60,16,0.5625,0.2738537103835452,0.04252829401232029,1.2272663341652368,-0.5753642560754535,0.7143331548308676,41.94785443799401,60.38074099613125,81.33008730309001,0.375
DEV,TOP1,ATR1,120,59,0.3389830508474576,0.19291804840985535,0.0037764026557836703,1.1488929802758117,-0.46955239097274765,0.5661162304543549,47.00548530923553,-394.838546646121,76.9922877658341,0.5254237288135594
VALIDATION,TOP1,ATR1,120,16,0.5,0.13191531106030335,-0.0993716272949679,0.9261805194561081,-0.6578802381458293,0.5905356343200342,-16.02929511649816,25.035292079285426,81.31437279508086,0.4375
DEV,TOP1,ATR1_5,60,63,0.36507936507936506,0.07147498338413762,-0.07656150070358869,0.9351809720558564,-0.3851965341916868,0.27622429132003895,-15.98392503635918,-193.5169974441957,66.16016521210437,0.3492063492063492
VALIDATION,TOP1,ATR1_5,60,16,0.5625,0.12746770642166722,-0.043883157817013935,0.9693120121608753,-0.503692102498833,0.44173894564090777,-6.152976925300855,43.8527382366302,75.8899592020968,0.3125
DEV,TOP1,ATR1_5,120,59,0.3898305084745763,0.11509947568692337,-0.02739279618947615,1.000842934332665,-0.4077994278823768,0.3835742379492189,0.23665469909398734,-265.61865865284506,65.0816041750055,0.4406779661016949
VALIDATION,TOP1,ATR1_5,120,16,0.5,0.009555578604890452,-0.16176300616545564,0.7145945515387904,-0.6214777898521826,0.3623385021701977,-66.07181703690324,5.272161258350668,75.87324636726916,0.375
DEV,TOP1,PULLBACK_LOW,60,63,0.2857142857142857,0.13483313620720017,-0.14006241091423668,0.8683761958744506,-0.7120052262475041,0.624738851854411,-39.21107553177955,-305.761575077549,74.83132021432853,0.5396825396825397
VALIDATION,TOP1,PULLBACK_LOW,60,16,0.5,0.07584955508065858,-0.11733494833614096,0.9813420107838787,-0.6387189082891852,0.44332166841733067,-3.9323156907290375,-40.0130734143347,78.69451100324008,0.375
DEV,TOP1,PULLBACK_LOW,120,59,0.288135593220339,0.17668594672843166,-0.0836193336787165,0.9172319186411267,-0.6827607775046219,0.7758585537760889,-26.58403255643898,-353.13898636251156,74.52017170898958,0.6271186440677966
VALIDATION,TOP1,PULLBACK_LOW,120,16,0.4375,-0.062276950692204014,-0.25543846239209445,0.70831225800748,-0.7835815265092442,0.32593499197890763,-70.07286855696806,-94.49514590777557,78.68378105697829,0.4375
DEV,TOP2,ATR1,60,65,0.3384615384615385,0.12507568796649846,-0.074653866243228,1.0293591728539586,-0.48223187164670167,0.4114510413494246,8.27492797180563,-326.4107846684476,77.41044817106062,0.4461538461538462
VALIDATION,TOP2,ATR1,60,17,0.5882352941176471,0.2935386103325679,0.06406107335600554,1.2840334237170414,-0.5174930558046753,0.6783237724148254,49.341818971464406,81.66336247303941,81.37096149073358,0.35294117647058826
DEV,TOP2,ATR1,120,60,0.3333333333333333,0.19144355164171004,0.00285636168445772,1.1473104122075848,-0.441168065589906,0.5079481431965038,45.793850812657254,-390.4303416521361,77.00700271116138,0.5166666666666667
VALIDATION,TOP2,ATR1,120,17,0.5294117647058824,0.20987288349141317,-0.019582728244071115,1.074635173463065,-0.5559692307695167,0.6044305420849675,15.25309755089307,79.05252328373903,81.36203438189148,0.4117647058823529
DEV,TOP2,ATR1_5,60,65,0.36923076923076925,0.07362367826947695,-0.07599273326837007,0.9269916675953763,-0.38367257652085246,0.26625848280203745,-17.77699396023027,-193.5169974441957,66.35812451518336,0.3384615384615385
VALIDATION,TOP2,ATR1_5,60,17,0.5882352941176471,0.14482737324516504,-0.02546505658307357,1.0112669256075932,-0.4645759740286023,0.43593569061140314,2.1261473579833488,68.15641671364885,75.9356830201786,0.29411764705882354
DEV,TOP2,ATR1_5,120,60,0.38333333333333336,0.1143763547914487,-0.027854730439754345,0.9991955304827006,-0.39793843246067395,0.32507064026652815,-0.22245756955724877,-251.1345941709857,65.04438129575519,0.43333333333333335
VALIDATION,TOP2,ATR1_5,120,17,0.5294117647058824,0.06852145335486282,-0.10175051931007763,0.8304577909019091,-0.5420695555399817,0.3754725587487692,-36.94051023147146,39.52626164186952,75.92491430711067,0.35294117647058826
DEV,TOP2,PULLBACK_LOW,60,65,0.2923076923076923,0.13356412009389432,-0.14031668389575774,0.8563911777351612,-0.7107656546724838,0.633237323115627,-42.41467054330003,-305.761575077549,75.01482162023218,0.5230769230769231
VALIDATION,TOP2,PULLBACK_LOW,60,17,0.5294117647058824,0.12323262172693947,-0.0756208268593825,1.0310570441884623,-0.5741504010176962,0.44895522626807177,6.160482379725071,58.36971622037359,78.89041909087484,0.35294117647058826
DEV,TOP2,PULLBACK_LOW,120,60,0.2833333333333333,0.17555885585310438,-0.08305268843995717,0.9160347652860865,-0.6830787256397587,0.6946842890291286,-26.553724359053042,-336.81560768297834,74.59812535906129,0.6166666666666667
