split,side,barrier_r,events,hit_count,hit_rate,median_minutes_if_hit
DEV,UP,0.25,202,179,0.8861386138613861,5.0
DEV,UP,0.5,202,151,0.7475247524752475,10.0
DEV,UP,0.75,202,133,0.6584158415841584,15.0
DEV,UP,1.0,202,110,0.5445544554455446,27.5
DEV,UP,1.5,202,74,0.36633663366336633,40.0
DEV,UP,2.0,202,56,0.27722772277227725,60.0
DEV,DOWN,0.25,202,183,0.905940594059406,0.0
DEV,DOWN,0.5,202,159,0.7871287128712872,10.0
DEV,DOWN,0.75,202,142,0.7029702970297029,27.5
DEV,DOWN,1.0,202,121,0.599009900990099,45.0
DEV,DOWN,1.5,202,81,0.400990099009901,75.0
VALIDATION,UP,0.25,85,74,0.8705882352941177,5.0
VALIDATION,UP,0.5,85,65,0.7647058823529411,10.0
VALIDATION,UP,0.75,85,55,0.6470588235294118,30.0
VALIDATION,UP,1.0,85,42,0.49411764705882355,32.5
VALIDATION,UP,1.5,85,32,0.3764705882352941,45.0
VALIDATION,UP,2.0,85,27,0.3176470588235294,90.0
VALIDATION,DOWN,0.25,85,73,0.8588235294117647,0.0
VALIDATION,DOWN,0.5,85,67,0.788235294117647,5.0
VALIDATION,DOWN,0.75,85,57,0.6705882352941176,20.0
VALIDATION,DOWN,1.0,85,48,0.5647058823529412,22.5
VALIDATION,DOWN,1.5,85,32,0.3764705882352941,35.0
