split,reward_r,adverse_r,events,up_first_rate,down_first_rate,neither_eod_rate,gross_expectancy_r,avg_cost_r,net_expectancy_r
DEV,0.5,0.5,202,0.45544554455445546,0.5396039603960396,0.0049504950495049506,-0.11753424300884538,0.0717018652935507,-0.1892361083023961
DEV,1.0,0.5,202,0.31683168316831684,0.6534653465346535,0.0297029702970297,-0.07093459926666011,0.07171520332318046,-0.14264980258984056
DEV,1.0,1.0,202,0.4752475247524752,0.4306930693069307,0.09405940594059406,-0.012119166238454238,0.0717320378293144,-0.08385120406776865
DEV,1.5,1.0,202,0.32673267326732675,0.5198019801980198,0.15346534653465346,-0.052426878333237975,0.07172050071411236,-0.12414737904735035
DEV,2.0,1.0,202,0.24752475247524752,0.5495049504950495,0.20297029702970298,-0.044784405346879365,0.07172268818858533,-0.1165070935354647
VALIDATION,0.5,0.5,85,0.4823529411764706,0.5058823529411764,0.011764705882352941,-0.09599597331516761,0.08003129013929332,-0.17602726345446093
VALIDATION,1.0,0.5,85,0.29411764705882354,0.6705882352941176,0.03529411764705882,-0.1151647590846872,0.08002580353441764,-0.19519056261910483
VALIDATION,1.0,1.0,85,0.4,0.4588235294117647,0.1411764705882353,-0.1465496690479024,0.08001682035717851,-0.2265664894050809
VALIDATION,1.5,1.0,85,0.3058823529411765,0.5058823529411764,0.18823529411764706,-0.11155805449001448,0.08002683586704697,-0.19158489035706147
VALIDATION,2.0,1.0,85,0.25882352941176473,0.5294117647058824,0.21176470588235294,-0.06773200112914779,0.08003938002299622,-0.14777138115214403
